id,name,spend_eur,ads_count,party
78502295414,CDU,703113,19943,cdu
47217143218,BÜNDNIS 90/DIE GRÜNEN,445034,8005,gruene
21289227249,FDP,373460,8380,fdp
47930567748,SPD,336653,14866,spd
540404695989874,AfD,177188,281,afd
144380008933707,SPD-Fraktion im Bundestag,218643,1133,spd
341486659645594,FDP Fraktion Bundestag,203865,2152,fdp
81386795687,CSU (Christlich-Soziale Union),96726,108,cdu
1790920000965539,CDU CSU Europa,95346,4445,cdu
241400009229424,FDP Baden-Württemberg,73756,234,fdp
196999950359158,FDP Berlin,69235,1605,fdp
126952903983246,CDU Berlin,63418,1033,cdu
77094470902,CDU Baden-Württemberg,61815,939,cdu
350558562311,FDP Bayern,57189,278,fdp
580401892143117,AfD-Fraktion Mecklenburg-Vorpommern,57359,478,afd
1919185338293853,AfD-Fraktion NRW,52646,119,afd
1522202731410785,Katarina Barley,52130,1517,spd
301485916628595,Christian Baldauf,49242,504,cdu
261985647756704,AfD im EU-Parlament,48903,261,afd
108655285842827,BÜNDNIS 90/DIE GRÜNEN Baden-Württemberg,48862,993,gruene
138832469593845,Grüner Fisher Investments,48713,469,gruene
190784743602,CDU/CSU-Bundestagsfraktion,45631,1718,cdu
111303730284804,Susanne Eisenmann,43016,363,cdu
330165526782,SPD Rheinland-Pfalz,41531,934,spd
351947321504088,GRÜNE Niedersachsen,40264,24,gruene
103558289679671,Bündnis 90/Die Grünen Berlin,46870,361,gruene
119192498110884,CDU-Fraktion Berlin,38335,567,cdu
66426617453,FDP Sachsen,37445,1604,fdp
130013197106952,SPD-Fraktion im Römer,37043,37,spd
123608251805,Marcus Weinberg,35211,124,cdu
103593837807255,Anne Spiegel,33842,74,gruene
211194715558010,CDU Köln,34127,208,cdu
134137749971478,SPD Berlin,32551,229,spd
246882798660237,SPD München,32108,36,spd
1712552975702120,Ingo Senftleben,30935,648,cdu
206866712830769,Nicola Beer,30256,96,fdp
401644396606709,Kai Wegner,29485,504,cdu
129459503748982,CDU Thüringen,29337,3499,cdu
282800387209,FDP NRW,28354,536,fdp
179057176050,SPD Baden-Württemberg,27943,763,spd
1078884028800904,AfD-Fraktion Sachsen-Anhalt,31014,494,afd
106637900016,BÜNDNIS 90/DIE GRÜNEN Sachsen-Anhalt,30577,297,gruene
50169278122,SPD Sachsen,27629,415,spd
445962318752667,Bündnis 90 / Die Grünen Thüringen,27384,149,gruene
25406037041,GRÜNE Hamburg,26685,526,gruene
118849647749,Bündnis 90/Die Grünen BBG,24978,246,gruene
179655898748396,Thorsten Brehm,24583,189,spd
221015151338873,Andreas Kossiski,24231,151,spd
334931334040,CDU-Fraktion im Thüringer Landtag,24361,454,cdu
2012567329069330,Michael Sack,24097,606,cdu
1186735191488652,Eckhard Scholz,23526,143,cdu
86337829141,BÜNDNIS 90/DIE GRÜNEN Sachsen,29915,461,gruene
88331883353,BÜNDNIS 90/DIE GRÜNEN Rheinland-Pfalz,23461,425,gruene
143504445664134,Christian Lindner,42213,383,fdp
104145414310,Olaf Scholz,23036,414,spd
102077835186179,Sigrid Borst,22876,178,afd
1073271182734567,AfD-Fraktion im Landtag Rheinland-Pfalz,22776,301,afd
100310154874411,Stephan Keller,21273,78,cdu
130273271119,SPD Hamburg,26664,759,spd
706758859393635,AfD Fraktion Sachsen,20901,965,afd
20672124724,BÜNDNIS 90/DIE GRÜNEN NRW,20645,76,gruene
210778952288250,FDP Brandenburg,22116,602,fdp
637552983272437,FDP-Fraktion Bayern,20759,629,fdp
657846797659513,Thomas L. Kemmerich,19671,1187,fdp
227292860644574,Sebastian Czaja,19293,531,fdp
168325299887228,CDU Brandenburg,18666,254,cdu
114051096811588,RUHR SPD,18594,91,spd
156155281149864,FDP Köln,18365,361,fdp
365742721816,FDP Fraktion Berlin,26420,187,fdp
164131966966839,FDP Schleswig-Holstein,17454,241,fdp
477257932385743,Martin Dulig,17387,164,spd
133831053368524,SPD Dortmund,17315,42,spd
171337982904329,CDU Sachsen-Anhalt,17174,218,cdu
1402857076602559,Malu Dreyer,16923,202,spd
1802871979838639,CSU im Bundestag,16780,56,cdu
189184071108491,FDP Hamburg,16083,1208,fdp
189449641081486,FDP Rheinland-Pfalz,15849,248,fdp
102437931477691,Stefan Engstfeld,15603,46,gruene
115602575294020,AfD Brandenburg,15554,117,afd
173540387171,CDU Münster,14789,79,cdu
258191139993,GRÜNE Bayern,13783,675,gruene
162707793881819,AfD Rheinland-Pfalz,13663,268,afd
178032906642,CDU Rheinland-Pfalz,13287,102,cdu
1512459202315535,CDU Region Stuttgart,12362,14,cdu
1675394899406675,Annalena Baerbock,12229,54,gruene
105537757585128,Freie Demokraten im Thüringer Landtag,12115,195,fdp
195137827175331,CDU-Fraktion des Sächsischen Landtages,12068,143,cdu
293691421315945,Katrin Habenschaden,11767,337,gruene
109460782417586,CDU in Niedersachsen,14791,1005,cdu
76866574484,SPD Niedersachsen,11388,377,spd
217013861665887,FDP Thüringen,10638,738,fdp
1801553256733890,Marc Herter,10591,119,spd
144527089488,SPD Nürnberg,10563,75,spd
83113756872,BÜNDNIS 90/DIE GRÜNEN Magdeburg,11625,227,gruene
343461479366778,AfD Kompakt,14405,6,afd
1456279681350421,Burkhard Jung,9522,46,spd
101112124757774,Andreas Hollstein,9618,43,cdu
139470429458087,SPD BRANDENBURG,10005,160,spd
1406527089566208,Alternative für Deutschland AfD - Kreisverband Euskirchen,9292,88,afd
146049068749703,BayernSPD Landtagsfraktion,9263,46,spd
108185017409,CDU Nordrhein-Westfalen,9218,182,cdu
295396807266554,SPD Hof,9693,171,spd
189810044370879,FDP Wiesbaden,9165,51,fdp
152934608113175,FDP Bremen,13215,471,fdp
188677361503511,Mike Mohring,18255,1575,cdu
102003294835777,CDU Düsseldorf,8873,652,cdu
661977487207883,Monika Griefahn,8690,169,spd
417906251607978,SPD Mannheim,9281,49,spd
427215427374583,Alternative für Deutschland · AfD Köln,8925,100,afd
1014057301965054,Thomas Heilmann,8562,43,cdu
57318667478,SPD Dresden,8486,175,spd
112849758781062,FDP München,8360,31,fdp
948945635150056,AfD-Fraktion Hamburg,9040,268,afd
744055308985961,CDU-Fraktion im Landtag Mecklenburg-Vorpommern,9481,256,cdu
318470087331,FDP Düsseldorf,8019,78,fdp
137771196652740,AfD-Fraktion im Landtag von Baden-Württemberg,7881,23,afd
121115018256872,Andreas Stoch,7863,116,spd
493734394101595,SPD-Landtagsfraktion Mecklenburg-Vorpommern,7831,252,spd
173369732686833,Bündnis90/Die Grünen Frankfurt,8183,167,gruene
131268050275994,CDU Main-Kinzig,7535,183,cdu
616796941720844,SPD Euskirchen,7534,109,spd
87921510981,SPD Thüringen,7413,276,spd
