Page ID,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,2478544,6666
768905426534529,Bundesregierung,Bundesregierung,1958197,934
82734241364,Campact e.V.,Campact e.V.,1574418,6853
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,1494500,1989
178362315106,European Parliament,European Parliament,1277513,1402
108268845888673,Bundesministerium für Arbeit und Soziales,Bundesministerium für Arbeit und Soziales,907599,1218
197589525931,Facebook app,Facebook,903982,20
23216224900,Plan International Deutschland,Plan International Deutschland,711748,579
78502295414,CDU,CDU,702202,19910
331832984040,LichtBlick,LichtBlick,689248,2672
666098253508699,Verbraucherhilfe24,Verbraucherhilfe24,666558,579
519185471487841,Bayer Deutschland,Bayer,637300,177
123921283433,Fraktion DIE LINKE. im Bundestag,Fraktion DIE LINKE. im Bundestag,609757,1168
170688644503,UNICEF Deutschland,UNICEF Deutschland,587990,945
103355385129734,The Climate Pledge,The Climate Pledge,580473,38
107898832590939,European Commission,European Commission,465487,373
47217143218,BÜNDNIS 90/DIE GRÜNEN,BÜNDNIS 90/DIE GRÜNEN,442033,7968
236934790401,UNO-Flüchtlingshilfe,UNO-Flüchtlingshilfe,407415,1084
75159424764,Aktion Mensch,Aktion Mensch,401469,296
484950398505596,IRC Deutschland,IRC Deutschland,396485,651
21289227249,FDP,FDP,372884,8340
218786540044,WWF Deutschland,WWF Deutschland,369765,814
114186703597807,VIER PFOTEN,VIER PFOTEN,343298,2529
47930567748,SPD,SPD,328148,14583
1508446642792459,Vattenfall Deutschland,Vattenfall Deutschland,313538,396
336621951882,Allianz Deutschland,These ads ran without a disclaimer,312814,9
161674141345516,Weltverbesserer,Die Techniker (TK),294174,520
161273245888,Save the Children Deutschland,Save the Children Deutschland,240974,2093
112277272142815,Sparkasse,Sparkasse,240265,108
481033845692472,Entschieden. Gegen Krebs.,ENTSCHIEDEN. Gegen Krebs.,237276,766
1655252804795367,Oatly,Oatly,217106,71
122276294503722,Viessmann Sport,Viessmann Sport,216830,398
2010920999000602,Fridays for Future Deutschland,Together for Future e.V.,210446,2541
112369170621210,Deutschland spricht über 5G,Dialoginitiative "Deutschland spricht über 5G",203948,61
417905399079008,The Honu Movement,The Honu Movement,198395,374
121678260974,Initiative Neue Soziale Marktwirtschaft (INSM),Initiative Neue Soziale Marktwirtschaft (INSM),195831,9746
1578640155687393,Sea-Watch,Sea-Watch,184606,308
116335026590900,Mülltrennung wirkt,die dualen Systeme,183253,578
108824017345866,Facebook,Facebook Inc.,181449,80
106626487721376,Amazon Europe,Amazon Europe,181027,21
540404695989874,AfD,AfD,170919,278
567366010021216,Bundesministerium der Justiz und für Verbraucherschutz,Bundesministerium der Justiz und für Verbraucherschutz,167171,36
144380008933707,SPD-Fraktion im Bundestag,SPD-Fraktion im Bundestag,160639,633
129724513733284,dm-drogerie markt Deutschland,dm-drogerie markt Deutschland,151474,49
478399422560922,KadeFungin,DR. KADE,150976,479
217879838339082,Bundesministerium für Wirtschaft und Energie,Bundesministerium für Wirtschaft und Energie,149574,96
77691342723,Vodafone Deutschland,These ads ran without a disclaimer,148867,11
346059386316717,Dash,DALLI-WERKE GmbH & Co. KG,147418,127
140889782312,Friedrich-Naumann-Stiftung für die Freiheit,Friedrich-Naumann-Stiftung für die Freiheit,139137,2357
1462141234003513,Alex Düsseldorf Fischer,These ads ran without a disclaimer,134396,114
323245001172018,Bundesministerium für Gesundheit,These ads ran without a disclaimer,133162,195
511785248971976,"Bundesministerium für Familie, Senioren, Frauen und Jugend","Bundesministerium für Familie, Senioren, Frauen und Jugend",131187,214
453150811428411,Mastercard,Mastercard,130440,95
369567809754486,Open Society Roma Initiatives,the Open Society Foundations,126580,5449
1110204782371616,Die Moderne Landwirtschaft,Forum Moderne Landwirtschaft e.V.,126027,3255
44511549119,Konrad-Adenauer-Stiftung,Konrad-Adenauer-Stiftung,124066,3636
101124947919410,GermanZero,Germanzero,116698,5167
341486659645594,FDP Fraktion Bundestag,Fraktion der Freien Demokraten,115885,1377
417905399079008,The Honu Movement,Ocean Plastic Cleanup gemeinnützige GmbH,115506,374
174118102615738,Brot für die Welt,Brot für die Welt,112757,132
116544291761495,Kindernothilfe E.V.,Kindernothilfe E.V.,110563,2098
1947378708884004,Initiative Frosch,Initiative Frosch,109961,400
56497026719,SOS-Kinderdörfer weltweit,SOS-Kinderdörfer weltweit,107622,408
