Page ID,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library
107898832590939,European Commission,European Commission,15497,11
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,6199,613
64694257920,ProSieben,ProSieben,4154,19
82734241364,Campact e.V.,Campact e.V.,3343,214
103355385129734,The Climate Pledge,The Climate Pledge,2291,8
112369170621210,Deutschland spricht über 5G,Dialoginitiative "Deutschland spricht über 5G",1576,2
190784743602,CDU/CSU-Bundestagsfraktion,CDU/CSU-Bundestagsfraktion,1523,71
106626487721376,Amazon Europe,Amazon Europe,1416,6
1762360844053566,RECUP,RECUP,1280,64
484950398505596,IRC Deutschland,IRC Deutschland,1196,12
116580098376181,Audible,These ads ran without a disclaimer,1123,1
123921283433,Fraktion DIE LINKE. im Bundestag,Fraktion DIE LINKE. im Bundestag,1025,42
178362315106,European Parliament,European Parliament,963,7
481033845692472,Entschieden. Gegen Krebs.,ENTSCHIEDEN. Gegen Krebs.,961,91
768905426534529,Bundesregierung,Bundesregierung,909,2
170688644503,UNICEF Deutschland,UNICEF Deutschland,860,49
23216224900,Plan International Deutschland,Plan International Deutschland,785,15
331832984040,LichtBlick,LichtBlick,631,46
78502295414,CDU,CDU,626,12
164355333623231,The Left,GUE/NGL,501,25
1578640155687393,Sea-Watch,Sea-Watch,445,16
490874321062716,Berlin Partner für Wirtschaft und Technologie,Berlin Partner für Wirtschaft und Technologie,427,30
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,412,4
1947378708884004,Initiative Frosch,Initiative Frosch,406,13
161273245888,Save the Children Deutschland,Save the Children Deutschland,397,31
1745982485667400,Guido Reil,Guido Reil,365,3
90035328642,PETA Deutschland,PETA Deutschland,361,32
2188342231399828,HSI/Deutschland,HSI/Deutschland,340,20
106441894501599,Zukunft prägen - Lehrer/-in werden,Bayerisches Staatsministerium für Unterricht und Kultus,338,16
136260152219,World Vision Deutschland e.V.,World Vision Deutschland e.V.,326,41
192173427494417,"WOLF Heizung, Klima, Lüftung",WOLF GmbH,309,6
921326477983554,Verband der Chemischen Industrie e.V.,Verband der Chemischen Industrie,298,80
417905399079008,The Honu Movement,Ocean Plastic Cleanup gemeinnützige GmbH,285,21
154423267921909,followfood,followfood,276,2
21289227249,FDP,FDP,269,11
540404695989874,AfD,AfD,254,12
1982314815387746,EYD,Humanitarian Clothing GmbH,250,20
118097230041149,Civical,Civical GmbH,250,53
44511549119,Konrad-Adenauer-Stiftung,Konrad-Adenauer-Stiftung,246,33
380349938694731,Mentor Verlag,Mentor Verlag,242,1
332923170220,ONE Deutschland,ONE Deutschland,241,4
538936319946884,GermanDream,GermanDream mit Facebook-Werbegutschrift,236,12
161674141345516,Weltverbesserer,Die Techniker (TK),231,6
236934790401,UNO-Flüchtlingshilfe,UNO-Flüchtlingshilfe,224,15
375109771472,Freie Presse,Freie Presse,220,55
116335026590900,Mülltrennung wirkt,die dualen Systeme,213,53
121678260974,Initiative Neue Soziale Marktwirtschaft (INSM),Initiative Neue Soziale Marktwirtschaft (INSM),212,70
112352081112400,Inyova Impact Investing - Germany,Inyova Impact Investing,212,6
103514875204240,Christoph Schork FDP - Bundestagskandidat,FDP Kreisverband Düsseldorf,212,11
218786540044,WWF Deutschland,WWF Deutschland,204,6
165629350137468,Schaebens,Schaebens,201,15
121097790490,Albert Schweitzer Stiftung für unsere Mitwelt,Albert Schweitzer Stiftung für unsere Mitwelt,200,36
116544291761495,Kindernothilfe E.V.,Kindernothilfe E.V.,192,95
107411260903386,The Mother Nature App,The Mother Nature GmbH,190,12
614408642007931,Zurich,Zürich Beteiligungs AG,189,4
144380008933707,SPD-Fraktion im Bundestag,SPD-Bundestagsfraktion,173,12
169367889785454,Arbeitgeberverband Gesamtmetall,Arbeitgeberverband Gesamtmetall,170,93
158888744130107,Hubert Aiwanger Minister Bundesvors. Freie Wähler,Hubert Aiwanger,169,3
128440447895402,Jeder Tag zählt e.V.,Jeder Tag zählt e.V.,169,3
133306764192,NABU Bundesverband,NABU Bundesverband,160,60
108268845888673,Bundesministerium für Arbeit und Soziales,Bundesministerium für Arbeit und Soziales,159,5
503345659690341,hsp,hsp - Die Fundraiser,157,9
45872374946,GREENPEACE MAGAZIN,GREENPEACE MAGAZIN,153,21
969753549706725,AfD-Fraktion im Thüringer Landtag,AfD-Fraktion im Thüringer Landtag,144,1
1565754943752371,Robert Farle,Robert Farle,143,11
1508446642792459,Vattenfall Deutschland,Vattenfall Deutschland,142,2
140889782312,Friedrich-Naumann-Stiftung für die Freiheit,Friedrich-Naumann-Stiftung für die Freiheit,142,10
109573920927141,Ichwillfair,Initiative für nachhaltige Agrarlieferketten,140,4
104966247887525,Braindom,These ads ran without a disclaimer,137,10
369567809754486,Open Society Roma Initiatives,the Open Society Foundations,137,62
334931334040,CDU-Fraktion im Thüringer Landtag,CDU-Fraktion im Thüringer Landtag,134,15
143034515745865,SEAT,SEAT Deutschland,134,1
47217143218,BÜNDNIS 90/DIE GRÜNEN,BÜNDNIS 90/DIE GRÜNEN,125,7
430111700332957,"Ministerium für Wirtschaft, Arbeit, Energie und Verkehr","Ministerium für Wirtschaft, Arbeit, Energie und Verkehr",122,1
1805769829749530,Mehr Wirtschaft wagen,Arbeitgeberverband Gesamtmetall,120,70
108550857143852,Environmental Justice Foundation Deutschland,Environmental Justice Foundation Charitable Trust Deutschland gGmbH,119,10
102608544969110,Posterisan,DR. KADE,119,16
2012567329069330,Michael Sack,CDU Landesverband Mecklenburg-Vorpommern,117,36
253592560263,Christoffel-Blindenmission (CBM),CBM Christoffel-Blindenmission Christian Blind Mission e.V.,116,12
11309713071,Gates Foundation,Essence,115,1
100572773318575,Ärzte der Welt,Ärzte der Welt,115,24
478399422560922,KadeFungin,DR. KADE,113,5
104856335001601,Umfrage Politikforschung,Robert Welz,106,8
614408642007931,Zurich,Zürich Beteiligungs AG,106,2
100755981968185,Seija Knorr-Köning,Seija Knorr-Köning,105,47
331085703648232,Deutscher Verkehrssicherheitsrat - DVR,Deutscher Verkehrssicherheitsrat e.V.,105,2
185101174836284,IG Metall Jugend,IG Metall Jugend,103,40
