Page ID,Page Name,Disclaimer,Amount Spent (EUR)
107898832590939,European Commission,European Commission,454
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,193
64694257920,ProSieben,ProSieben,123
82734241364,Campact e.V.,Campact e.V.,114
164131966966839,FDP Schleswig-Holstein,FDP Schleswig-Holstein,≤100
47217143218,BÜNDNIS 90/DIE GRÜNEN,BÜNDNIS 90/DIE GRÜNEN,≤100
103355385129734,The Climate Pledge,The Climate Pledge,≤100
190784743602,CDU/CSU-Bundestagsfraktion,CDU/CSU-Bundestagsfraktion,≤100
112369170621210,Deutschland spricht über 5G,Dialoginitiative "Deutschland spricht über 5G",≤100
106626487721376,Amazon Europe,Amazon Europe,≤100
484950398505596,IRC Deutschland,IRC Deutschland,≤100
481033845692472,Entschieden. Gegen Krebs.,ENTSCHIEDEN. Gegen Krebs.,≤100
768905426534529,Bundesregierung,Bundesregierung,≤100
178362315106,European Parliament,European Parliament,≤100
23216224900,Plan International Deutschland,Plan International Deutschland,≤100
123921283433,Fraktion DIE LINKE. im Bundestag,Fraktion DIE LINKE. im Bundestag,≤100
170688644503,UNICEF Deutschland,UNICEF Deutschland,≤100
1749776731967642,FDP-Landtagsfraktion Schleswig-Holstein,FDP-Landtagsfraktion Schleswig-Holstein,≤100
165381593630826,SPD Schleswig-Holstein,SPD Schleswig-Holstein,≤100
78502295414,CDU,CDU,≤100
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,≤100
1947378708884004,Initiative Frosch,Initiative Frosch,≤100
108268845888673,Bundesministerium für Arbeit und Soziales,Bundesministerium für Arbeit und Soziales,≤100
331832984040,LichtBlick,LichtBlick,≤100
164355333623231,The Left,GUE/NGL,≤100
1578640155687393,Sea-Watch,Sea-Watch,≤100
90035328642,PETA Deutschland,PETA Deutschland,≤100
192173427494417,"WOLF Heizung, Klima, Lüftung",WOLF GmbH,≤100
1745982485667400,Guido Reil,Guido Reil,≤100
2188342231399828,HSI/Deutschland,HSI/Deutschland,≤100
417905399079008,The Honu Movement,Ocean Plastic Cleanup gemeinnützige GmbH,≤100
344156702608625,Mathias Stein - Sozialdemokrat im Deutschen Bundestag,"Mathias Stein, MdB",≤100
332923170220,ONE Deutschland,ONE Deutschland,≤100
107949401450491,Tim Klüssendorf,SPD Lübeck,≤100
1982314815387746,EYD,Humanitarian Clothing GmbH,≤100
21289227249,FDP,FDP,≤100
151013658351935,Freie Wähler Schleswig-Holstein,FREIE WÄHLER Schleswig-Holstein,≤100
121097790490,Albert Schweitzer Stiftung für unsere Mitwelt,Albert Schweitzer Stiftung für unsere Mitwelt,≤100
107411260903386,The Mother Nature App,The Mother Nature GmbH,≤100
161273245888,Save the Children Deutschland,Save the Children Deutschland,≤100
218786540044,WWF Deutschland,WWF Deutschland,≤100
323048698157876,Partei der Humanisten Schleswig-Holstein,Nico Dittebrandt,≤100
236934790401,UNO-Flüchtlingshilfe,UNO-Flüchtlingshilfe,≤100
154423267921909,followfood,followfood,≤100
1427901547344758,TIMEPARTNER,TimePartner Personalmanagement GmbH,≤100
165629350137468,Schaebens,Schaebens,≤100
45872374946,GREENPEACE MAGAZIN,GREENPEACE MAGAZIN,≤100
161674141345516,Weltverbesserer,Die Techniker (TK),≤100
112352081112400,Inyova Impact Investing - Germany,Inyova Impact Investing,≤100
540404695989874,AfD,AfD,≤100
538936319946884,GermanDream,GermanDream mit Facebook-Werbegutschrift,≤100
380349938694731,Mentor Verlag,Mentor Verlag,≤100
116335026590900,Mülltrennung wirkt,die dualen Systeme,≤100
128440447895402,Jeder Tag zählt e.V.,Jeder Tag zählt e.V.,≤100
446899142020284,Die Techniker (TK) - Karriere,Die Techniker (TK) - Ausbildung und Karriere,≤100
856337431156538,TIMEPARTNER,TimePartner Personalmanagement GmbH,≤100
109573920927141,Ichwillfair,Initiative für nachhaltige Agrarlieferketten,≤100
102266292068286,Wissen - Immobilien,Immobil Marketing,≤100
143034515745865,SEAT,SEAT Deutschland,≤100
102608544969110,Posterisan,DR. KADE,≤100
614408642007931,Zurich,Zürich Beteiligungs AG,≤100
614408642007931,Zurich,Zürich Beteiligungs AG,≤100
253592560263,Christoffel-Blindenmission (CBM),CBM Christoffel-Blindenmission Christian Blind Mission e.V.,≤100
149871337782,Piratenpartei,Piratenpartei Deutschland,≤100
169367889785454,Arbeitgeberverband Gesamtmetall,Arbeitgeberverband Gesamtmetall,≤100
503345659690341,hsp,hsp - Die Fundraiser,≤100
140889782312,Friedrich-Naumann-Stiftung für die Freiheit,Friedrich-Naumann-Stiftung für die Freiheit,≤100
261985647756704,AfD im EU-Parlament,AfD im EU-Parlament,≤100
117534528257937,Bund für Umwelt und Naturschutz Deutschland,Bund für Umwelt und Naturschutz Deutschland,≤100
229357780969497,Nina Schilling,Nina Schilling,≤100
478399422560922,KadeFungin,DR. KADE,≤100
331085703648232,Deutscher Verkehrssicherheitsrat - DVR,Deutscher Verkehrssicherheitsrat e.V.,≤100
517259748320333,Dr. Burkhart Eymer,Burkhart Detlef Werner Eymer,≤100
313744767921,der Freitag,der Freitag,≤100
158888744130107,Hubert Aiwanger Minister Bundesvors. Freie Wähler,Hubert Aiwanger,≤100
197647650755276,Diakonie Schleswig-Holstein,Diakonie Schleswig-Holstein,≤100
144380008933707,SPD-Fraktion im Bundestag,SPD-Bundestagsfraktion,≤100
429601160521937,HUMAN BLOOD,HUMAN BLOOD,≤100
453150811428411,Mastercard,Mastercard,≤100
11309713071,Gates Foundation,Essence,≤100
100653425499305,Gleichbehandeln,Ärzte der Welt e.V.,≤100
1819425944973592,Anna Deparnay-Grunenberg,Anna Deparnay-Grunenberg,≤100
102919228075618,Step at Work,Robert-Marius Eremia,≤100
344556287396,Heyne Verlag,Penguin Random House Verlagsgruppe GmbH,≤100
412708008752200,RaboDirect Deutschland,RaboDirect Deutschland,≤100
593476900673774,ifaw,ifaw,≤100
1110204782371616,Die Moderne Landwirtschaft,Forum Moderne Landwirtschaft e.V.,≤100
127143338110,missio,missio,≤100
1609555372394092,17 Ziele,Engagement Global - Service für Entwicklungsinitiativen,≤100
175044368727,FLYERALARM,Flyeralarm,≤100
100232087997794,Bernhard Zimniok,Bernhard Zimniok,≤100
154015121740225,SPD Nordfriesland,SPD Nordfriesland,≤100
248369765299546,SPD Reinfeld,SPD Reinfeld,≤100
1855211144766647,Asylhelper by migrando,Graske Rechtsanwälte,≤100
47694585682,DIE LINKE,DIE LINKE,≤100
112522290872445,Vertrauliche Spurensicherung SH,Institut für Rechtsmedizin am UKSH,≤100
