Page ID,Page Name,Disclaimer,Amount Spent (EUR)
103355385129734,The Climate Pledge,The Climate Pledge,964
63415881040,Aktion Deutschland Hilft,Aktion Deutschland Hilft,912
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,495
82734241364,Campact e.V.,Campact e.V.,415
170688644503,UNICEF Deutschland,UNICEF Deutschland,128
106626487721376,Amazon Europe,Amazon Europe,116
331832984040,LichtBlick,LichtBlick,110
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,101
178362315106,European Parliament,European Parliament,≤100
481033845692472,Entschieden. Gegen Krebs.,ENTSCHIEDEN. Gegen Krebs.,≤100
123921283433,Fraktion DIE LINKE. im Bundestag,Fraktion DIE LINKE. im Bundestag,≤100
112369170621210,Deutschland spricht über 5G,Dialoginitiative "Deutschland spricht über 5G",≤100
23216224900,Plan International Deutschland,Plan International Deutschland,≤100
144380008933707,SPD-Fraktion im Bundestag,SPD-Bundestagsfraktion,≤100
107898832590939,European Commission,European Commission,≤100
1947378708884004,Initiative Frosch,Initiative Frosch,≤100
477942969211245,Engin Eroglu,"Renew Europe Group, European Parliament",≤100
161273245888,Save the Children Deutschland,Save the Children Deutschland,≤100
1578640155687393,Sea-Watch,Sea-Watch,≤100
2188342231399828,HSI/Deutschland,HSI/Deutschland,≤100
116000986793106,Klima,Climate Labs GmbH,≤100
540404695989874,AfD,AfD,≤100
161674141345516,Weltverbesserer,Die Techniker (TK),≤100
90035328642,PETA Deutschland,PETA Deutschland,≤100
484950398505596,IRC Deutschland,IRC Deutschland,≤100
423800571019823,Katja Leikert,Katja Leikert,≤100
154423267921909,followfood,followfood,≤100
154149027994068,ZDF,ZDF,≤100
136260152219,World Vision Deutschland e.V.,World Vision Deutschland e.V.,≤100
1609555372394092,17 Ziele,Engagement Global - Service für Entwicklungsinitiativen,≤100
190633894286732,Diakonie Katastrophenhilfe,Diakonie Katastrophenhilfe,≤100
453150811428411,Mastercard,Mastercard,≤100
417905399079008,The Honu Movement,Ocean Plastic Cleanup gemeinnützige GmbH,≤100
109436900914743,Michael Götz-Pijl - Die PARTEI,Michael Götz-Pijl,≤100
538936319946884,GermanDream,GermanDream mit Facebook-Werbegutschrift,≤100
380349938694731,Mentor Verlag,Mentor Verlag,≤100
1982314815387746,EYD,Humanitarian Clothing GmbH,≤100
