Page ID,Page Name,Disclaimer,Amount Spent (EUR)
103355385129734,The Climate Pledge,The Climate Pledge,614
63415881040,Aktion Deutschland Hilft,Aktion Deutschland Hilft,414
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,337
82734241364,Campact e.V.,Campact e.V.,296
106626487721376,Amazon Europe,Amazon Europe,102
768905426534529,Bundesregierung,Bundesregierung,≤100
123921283433,Fraktion DIE LINKE. im Bundestag,Fraktion DIE LINKE. im Bundestag,≤100
170688644503,UNICEF Deutschland,UNICEF Deutschland,≤100
1272335162858434,"Ministerium für Arbeit, Soziales, Transformation und Digitalisierung RLP","Ministerium für Soziales, Arbeit, Gesundheit und Demografie Rheinland-Pfalz",≤100
178362315106,European Parliament,European Parliament,≤100
481033845692472,Entschieden. Gegen Krebs.,ENTSCHIEDEN. Gegen Krebs.,≤100
1873999882830833,Grüne Rhein-Pfalz,Grüne Rhein-Pfalz,≤100
112369170621210,Deutschland spricht über 5G,Dialoginitiative "Deutschland spricht über 5G",≤100
1947378708884004,Initiative Frosch,Initiative Frosch,≤100
103015471773198,David Maier,David Maier,≤100
23216224900,Plan International Deutschland,Plan International Deutschland,≤100
331832984040,LichtBlick,LichtBlick,≤100
248913988520756,Union Investment,Union Investment Privatfonds GmbH,≤100
484950398505596,IRC Deutschland,IRC Deutschland,≤100
204139474516,abgeordnetenwatch.de,abgeordnetenwatch.de,≤100
107898832590939,European Commission,European Commission,≤100
162707793881819,AfD Rheinland-Pfalz,AfD Rheinland-Pfalz,≤100
540404695989874,AfD,AfD,≤100
108268845888673,Bundesministerium für Arbeit und Soziales,Bundesministerium für Arbeit und Soziales,≤100
161674141345516,Weltverbesserer,Die Techniker (TK),≤100
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,≤100
100987318508617,Matthias Mieves,Matthias Mieves,≤100
90035328642,PETA Deutschland,PETA Deutschland,≤100
369567809754486,Open Society Roma Initiatives,the Open Society Foundations,≤100
116335026590900,Mülltrennung wirkt,die dualen Systeme,≤100
2167703030182380,Dreck weg e.V.,DRECK WEG e.V.,≤100
44511549119,Konrad-Adenauer-Stiftung,Konrad-Adenauer-Stiftung,≤100
2188342231399828,HSI/Deutschland,HSI/Deutschland,≤100
1578640155687393,Sea-Watch,Sea-Watch,≤100
154149027994068,ZDF,ZDF,≤100
412708008752200,RaboDirect Deutschland,RaboDirect Deutschland,≤100
161273245888,Save the Children Deutschland,Save the Children Deutschland,≤100
1609555372394092,17 Ziele,Engagement Global - Service für Entwicklungsinitiativen,≤100
614408642007931,Zurich,Zürich Beteiligungs AG,≤100
116000986793106,Klima,Climate Labs GmbH,≤100
102608544969110,Posterisan,DR. KADE,≤100
614408642007931,Zurich,Zürich Beteiligungs AG,≤100
190633894286732,Diakonie Katastrophenhilfe,Diakonie Katastrophenhilfe,≤100
136260152219,World Vision Deutschland e.V.,World Vision Deutschland e.V.,≤100
538936319946884,GermanDream,GermanDream mit Facebook-Werbegutschrift,≤100
1110204782371616,Die Moderne Landwirtschaft,Forum Moderne Landwirtschaft e.V.,≤100
121678260974,Initiative Neue Soziale Marktwirtschaft (INSM),Initiative Neue Soziale Marktwirtschaft (INSM),≤100
100572773318575,Ärzte der Welt,Ärzte der Welt,≤100
380349938694731,Mentor Verlag,Mentor Verlag,≤100
498082906898583,Spotify,Spotify,≤100
