Page ID,Page Name,Disclaimer,Amount Spent (EUR)
45978762184,Saarland.de,Saarland.de,241
113496690102800,energis Erlebe was Dein Zuhause kann,energis GmbH,157
103355385129734,The Climate Pledge,The Climate Pledge,153
82734241364,Campact e.V.,Campact e.V.,116
106626487721376,Amazon Europe,Amazon Europe,≤100
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,≤100
166021496808171,Annegret Kramp-Karrenbauer,Kramp-Karrenbauer,≤100
331832984040,LichtBlick,LichtBlick,≤100
166021496808171,Annegret Kramp-Karrenbauer,CDU Saar Kreisverband Saarbrücken-Land,≤100
453150811428411,Mastercard,Mastercard,≤100
540404695989874,AfD,AfD,≤100
648606161910298,"Ministerium für Soziales, Gesundheit, Frauen und Familie","Ministerium für Soziales, Gesundheit, Frauen und Familie",≤100
768905426534529,Bundesregierung,Bundesregierung,≤100
430111700332957,"Ministerium für Wirtschaft, Arbeit, Energie und Verkehr","Ministerium für Wirtschaft, Arbeit, Energie und Verkehr",≤100
112369170621210,Deutschland spricht über 5G,Dialoginitiative "Deutschland spricht über 5G",≤100
108165514298122,Zukunft sichern,Zukunft Sichern,≤100
747321952087310,Angelika Hießerich-Peter,Landesverband,≤100
823014384524213,Püttlingen gestalten,energis GmbH,≤100
23216224900,Plan International Deutschland,Plan International Deutschland,≤100
481033845692472,Entschieden. Gegen Krebs.,ENTSCHIEDEN. Gegen Krebs.,≤100
170688644503,UNICEF Deutschland,UNICEF Deutschland,≤100
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,≤100
348979855478911,Esra Limbacher,Esra Limbacher,≤100
442906105719770,TotalEnergies,TOTAL Deutschland GmbH,≤100
1142127912586458,Kreissparkasse Saarpfalz,Kreissparkasse Saarpfalz,≤100
63415881040,Aktion Deutschland Hilft,Aktion Deutschland Hilft,≤100
108268845888673,Bundesministerium für Arbeit und Soziales,Bundesministerium für Arbeit und Soziales,≤100
614408642007931,Zurich,Zürich Beteiligungs AG,≤100
498082906898583,Spotify,Spotify,≤100
1565754943752371,Robert Farle,Robert Farle,≤100
90035328642,PETA Deutschland,PETA Deutschland,≤100
790148178038834,Union Stiftung,Union Stiftung,≤100
2188342231399828,HSI/Deutschland,HSI/Deutschland,≤100
1947378708884004,Initiative Frosch,Initiative Frosch,≤100
110039743940233,Saarländische Investitionskreditbank,Saarländische Investitionskreditbank,≤100
223078917757220,GEW Saarland,GEW,≤100
305368552898287,Viessmann,These ads ran without a disclaimer,≤100
116000986793106,Klima,Climate Labs GmbH,≤100
538936319946884,GermanDream,GermanDream mit Facebook-Werbegutschrift,≤100
147245511963527,DGB,Deutscher Gewerkschaftsbund (DGB),≤100
332923170220,ONE Deutschland,ONE Deutschland,≤100
102608544969110,Posterisan,DR. KADE,≤100
109573920927141,Ichwillfair,Initiative für nachhaltige Agrarlieferketten,≤100
165629350137468,Schaebens,Schaebens,≤100
128440447895402,Jeder Tag zählt e.V.,Jeder Tag zählt e.V.,≤100
1923134427976071,Engesaar GmbH,EnGeSaar GmbH,≤100
161273245888,Save the Children Deutschland,Save the Children Deutschland,≤100
1609555372394092,17 Ziele,Engagement Global - Service für Entwicklungsinitiativen,≤100
161674141345516,Weltverbesserer,Die Techniker (TK),≤100
78502295414,CDU,CDU,≤100
510117665830401,Hilfetelefon Gewalt gegen Frauen,BAFzA,≤100
100211998283499,Wasserhelden,Wasserhelden,≤100
137267732953826,Berliner Zeitung,Berliner Verlag GmbH,≤100
380349938694731,Mentor Verlag,Mentor Verlag,≤100
116335026590900,Mülltrennung wirkt,die dualen Systeme,≤100
352736338253081,Futurium,Futurium,≤100
1494252654172413,CDU Ortsverband Nunkirchen,Philip Johannes Demmer,≤100
334720923925926,Dieter Homburg,Fachzentrum Finanzen,≤100
114308060119379,Die Wohnungswirtschaft,GdW Bundesverband deutscher Wohnungs- und Immobilienunternehmen e.V.,≤100
107898832590939,European Commission,European Commission,≤100
143034515745865,SEAT,SEAT Deutschland,≤100
1487616731457354,Demo für Alle,Demo für Alle,≤100
248913988520756,Union Investment,Union Investment Privatfonds GmbH,≤100
1675394899406675,Annalena Baerbock,BÜNDNIS 90/DIE GRÜNEN,≤100
47217143218,BÜNDNIS 90/DIE GRÜNEN,BÜNDNIS 90/DIE GRÜNEN,≤100
710515235657473,SPD Heusweiler,SPD Gemeindeverband Heusweiler,≤100
556019341220640,Kinder in Gefahr - DVCK e.V.,DVCK e.V.,≤100
2135010219947091,MINTmagie,Bundesministerium für Bildung und Forschung,≤100
