Page ID,Page Name,Disclaimer,Amount Spent (EUR)
103355385129734,The Climate Pledge,The Climate Pledge,1184
82734241364,Campact e.V.,Campact e.V.,1027
21289227249,FDP,FDP,646
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,627
78502295414,CDU,CDU,576
178362315106,European Parliament,European Parliament,555
47217143218,BÜNDNIS 90/DIE GRÜNEN,BÜNDNIS 90/DIE GRÜNEN,317
123921283433,Fraktion DIE LINKE. im Bundestag,Fraktion DIE LINKE. im Bundestag,314
107898832590939,European Commission,European Commission,223
106261086094051,noz.de,Neue Osnabrücker Zeitung GmbH & Co. KG,217
768905426534529,Bundesregierung,Bundesregierung,200
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,197
387862064617610,Grüne Hannover,BÜNDNIS 90/DIE GRÜNEN,179
108165514298122,Zukunft sichern,Zukunft Sichern,179
249296718436,IG Metall,IG Metall,171
106626487721376,Amazon Europe,Amazon Europe,161
23216224900,Plan International Deutschland,Plan International Deutschland,136
453150811428411,Mastercard,Mastercard,132
170688644503,UNICEF Deutschland,UNICEF Deutschland,122
109460782417586,CDU in Niedersachsen,CDU in Niedersachsen,102
481033845692472,Entschieden. Gegen Krebs.,ENTSCHIEDEN. Gegen Krebs.,102
90035328642,PETA Deutschland,PETA Deutschland,≤100
247762585237953,Delmenhorster Kreisblatt,DK Medien GmbH & Co. KG,≤100
331832984040,LichtBlick,LichtBlick,≤100
101229198906085,Uwe Semper - Bürgermeisterkandidat,SPD Hohenhameln,≤100
1566424690272923,Volker Wissing,FDP,≤100
351947321504088,GRÜNE Niedersachsen,Grüne Niedersachsen,≤100
113462377450395,Adis Ahmetovic,SPD Hannover,≤100
104342778292114,Kaspar Haller,Kaspar Haller,≤100
198862383502965,DGB-Jugend Niedersachsen - Bremen - Sachsen-Anhalt,DGB-Jugend Niedersachsen - Bremen - Sachsen-Anhalt,≤100
123523341045520,Die Familienunternehmer,Die Familienunternehmer,≤100
136260152219,World Vision Deutschland e.V.,World Vision Deutschland e.V.,≤100
146549822054455,Bündnis 90 / Die Grünen Braunschweig,BÜNDNIS 90/DIE GRÜNEN,≤100
143504445664134,Christian Lindner,FDP,≤100
145515862174755,Cellesche Zeitung,Cellesche Zeitung Schweiger & Pick Verlag Pfingsten GmbH & Co. KG,≤100
101311178864729,Die Grünen - Kreisverband Stade,BÜNDNIS 90/DIE GRÜNEN,≤100
103968754935477,Daniel Schneider,SPD-Geschäftsstelle Cuxhaven,≤100
144380008933707,SPD-Fraktion im Bundestag,SPD-Bundestagsfraktion,≤100
1947378708884004,Initiative Frosch,Initiative Frosch,≤100
44511549119,Konrad-Adenauer-Stiftung,Konrad-Adenauer-Stiftung,≤100
213315645458272,Frank Henning,Frank Henning,≤100
182267218558411,Grüne Wolfsburg,BÜNDNIS 90/DIE GRÜNEN,≤100
387862064617610,Grüne Hannover,BÜNDNIS 90/DIE GRÜNEN Stadtverband Hannover,≤100
