Page ID,Page Name,Disclaimer,Amount Spent (EUR)
82734241364,Campact e.V.,Campact e.V.,1654
21289227249,FDP,FDP,967
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,876
178362315106,European Parliament,European Parliament,813
111033161266569,DeinMorgen,Die Jungen Unternehmer,387
107898832590939,European Commission,European Commission,380
540404695989874,AfD,AfD,329
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,299
308675340042451,Stuttgart macht's rein.,Landeshauptstadt Stuttgart ,285
170688644503,UNICEF Deutschland,UNICEF Deutschland,236
108165514298122,Zukunft sichern,Zukunft Sichern,226
143504445664134,Christian Lindner,FDP,214
249296718436,IG Metall,IG Metall,186
123523341045520,Die Familienunternehmer,Die Familienunternehmer,182
23216224900,Plan International Deutschland,Plan International Deutschland,168
134209407129787,Volt Deutschland,Volt Deutschland,155
331085703648232,Deutscher Verkehrssicherheitsrat - DVR,Deutscher Verkehrssicherheitsrat e.V.,153
484950398505596,IRC Deutschland,IRC Deutschland,152
136260152219,World Vision Deutschland e.V.,World Vision Deutschland e.V.,148
193608491239022,Freifam,Freifam.de,147
453150811428411,Mastercard,Mastercard,143
47217143218,BÜNDNIS 90/DIE GRÜNEN,BÜNDNIS 90/DIE GRÜNEN,133
1566424690272923,Volker Wissing,FDP,131
64694257920,ProSieben,ProSieben,131
481033845692472,Entschieden. Gegen Krebs.,ENTSCHIEDEN. Gegen Krebs.,122
90035328642,PETA Deutschland,PETA Deutschland,112
102608544969110,Posterisan,DR. KADE,108
120655374567,Ökologisch-Demokratische Partei (ÖDP),Ökologisch-Demokratische Partei (ÖDP),≤100
510117665830401,Hilfetelefon Gewalt gegen Frauen,BAFzA,≤100
419654778154419,Martin Rosemann,Martin Rosemann,≤100
179057176050,SPD Baden-Württemberg,SPD Baden-Württemberg,≤100
170723476273472,Grüne Kreisverband Ludwigsburg,BÜNDNIS 90/DIE GRÜNEN,≤100
1790920000965539,CDU CSU Europa,CDU/CSU-Gruppe in der EVP-Fraktion im Europäischen Parlament,≤100
331832984040,LichtBlick,LichtBlick,≤100
458240880867678,Grüne Stuttgart,BÜNDNIS 90/DIE GRÜNEN,≤100
451241478944949,Yannick Bury,Yannick Bury,≤100
217879838339082,Bundesministerium für Wirtschaft und Energie,Bundesministerium für Wirtschaft und Energie,≤100
642469353045950,Hans-Jürgen Goßner MdL,Hans-Jürgen Hilmar Goßner,≤100
126866220711392,MDM Deutsche Münze,MDM Münzhandelsgesellschaft mbH & Co. KG Deutsche Münze,≤100
148282971883063,Bündnis 90/ Die Grünen Kreisverband Esslingen,BÜNDNIS 90/DIE GRÜNEN,≤100
154149027994068,ZDF,ZDF,≤100
47930567748,SPD,SPD,≤100
123290727868673,Grüne Mannheim,BÜNDNIS 90/DIE GRÜNEN,≤100
112369170621210,Deutschland spricht über 5G,Dialoginitiative "Deutschland spricht über 5G",≤100
161273245888,Save the Children Deutschland,Save the Children Deutschland,≤100
380349938694731,Mentor Verlag,Mentor Verlag,≤100
169367889785454,Arbeitgeberverband Gesamtmetall,Arbeitgeberverband Gesamtmetall,≤100
183292338524573,Nestlé,Nestlé Deutschland,≤100
1110204782371616,Die Moderne Landwirtschaft,Forum Moderne Landwirtschaft e.V.,≤100
417905399079008,The Honu Movement,Ocean Plastic Cleanup gemeinnützige GmbH,≤100
112855667723039,Ralf Eisenhauer Bürgermeister,Stadt Mannheim,≤100
102105198406474,Isabell Steidel,Isabell Charlotte Steidel,≤100
115710743642051,Dr. Ann-Veruschka Jurisch,Team - Dr. Ann-Veruschka Jurisch,≤100
1609555372394092,17 Ziele,Engagement Global - Service für Entwicklungsinitiativen,≤100
458240880867678,Grüne Stuttgart,BÜNDNIS 90/DIE GRÜNEN Stuttgart,≤100
614408642007931,Zurich,Zürich Beteiligungs AG,≤100
249288198616,GRÜNE Karlsruhe,BÜNDNIS 90/DIE GRÜNEN,≤100
545983288833393,Grüne Heilbronn,BÜNDNIS 90/DIE GRÜNEN,≤100
253592560263,Christoffel-Blindenmission (CBM),CBM Christoffel-Blindenmission Christian Blind Mission e.V.,≤100
147245511963527,DGB,Deutscher Gewerkschaftsbund (DGB),≤100
1698700087037237,Alexander Throm,Alexander Throm,≤100
570575209690559,Freie Demokraten FDP - Kreisverband Karlsruhe-Land,Christian Jung,≤100
2188342231399828,HSI/Deutschland,HSI/Deutschland,≤100
113222213932717,Bündnis 90/ Die Grünen Kreisverband Pforzheim und Enzkreis,BÜNDNIS 90/DIE GRÜNEN,≤100
613944289072438,Bündnis 90/Die Grünen KV Bodenseekreis,BÜNDNIS 90/DIE GRÜNEN,≤100
302077876517632,Bündnis 90/Die Grünen Freiburg,BÜNDNIS 90/DIE GRÜNEN,≤100
116335026590900,Mülltrennung wirkt,die dualen Systeme,≤100
108268845888673,Bundesministerium für Arbeit und Soziales,Bundesministerium für Arbeit und Soziales,≤100
405649426170243,Grüne Ravensburg,BÜNDNIS 90/DIE GRÜNEN,≤100
102324097938104,"Mohit Yadav, Consul General of India in Munich Germany",Mohit Yadav,≤100
249680911789636,BÜNDNIS 90/DIE GRÜNEN SCHWARZWALD-BAAR-KREIS,BÜNDNIS 90/DIE GRÜNEN,≤100
127143338110,missio,missio,≤100
333612170079502,Bündnis 90/Die Grünen KV Breisgau-Hochschwarzwald,BÜNDNIS 90/DIE GRÜNEN,≤100
41509493347,Diakonie Deutschland,Diakonie Deutschland,≤100
165629350137468,Schaebens,Schaebens,≤100
642283985808604,Bündnis 90/Die Grünen Ulm,BÜNDNIS 90/DIE GRÜNEN,≤100
110976485656573,Junge Liberale JuLis,Junge Liberale,≤100
154423267921909,followfood,followfood,≤100
112943097161525,Heike Dorow,BÜNDNIS 90/DIE GRÜNEN ORTENAU,≤100
