Page ID,Page Name,Disclaimer,Amount Spent (EUR)
78502295414,CDU,CDU,3856
82734241364,Campact e.V.,Campact e.V.,3841
768905426534529,Bundesregierung,Bundesregierung,2429
47217143218,BÜNDNIS 90/DIE GRÜNEN,BÜNDNIS 90/DIE GRÜNEN,1788
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,1742
108824017345866,Facebook,Facebook Inc.,1203
75159424764,Aktion Mensch,Aktion Mensch,1125
21289227249,FDP,FDP,695
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,608
178362315106,European Parliament,European Parliament,521
1312721828781856,Diskutier Mit Mir,Diskutier Mit Mir e.V.,410
134209407129787,Volt Deutschland,Volt Deutschland,388
111033161266569,DeinMorgen,Die Jungen Unternehmer,363
123523341045520,Die Familienunternehmer,Die Familienunternehmer,361
170688644503,UNICEF Deutschland,UNICEF Deutschland,357
331832984040,LichtBlick,LichtBlick,343
249296718436,IG Metall,IG Metall,338
169463563099560,land.nrw,land.nrw,315
484950398505596,IRC Deutschland,IRC Deutschland,287
154149027994068,ZDF,ZDF,280
540404695989874,AfD,AfD,270
23216224900,Plan International Deutschland,Plan International Deutschland,264
108165514298122,Zukunft sichern,Zukunft Sichern,254
120655374567,Ökologisch-Demokratische Partei (ÖDP),Ökologisch-Demokratische Partei (ÖDP),233
112369170621210,Deutschland spricht über 5G,Dialoginitiative "Deutschland spricht über 5G",228
481033845692472,Entschieden. Gegen Krebs.,ENTSCHIEDEN. Gegen Krebs.,223
136260152219,World Vision Deutschland e.V.,World Vision Deutschland e.V.,217
190633894286732,Diakonie Katastrophenhilfe,These ads ran without a disclaimer,191
100528568765838,Timo Schisanowski,Timo Schisanowski,189
113319324330513,Politcheck,Forum für politischen und gesellschaftlichen Informationsaustausch,163
243128545750196,GRÜNE Düsseldorf,BÜNDNIS 90/DIE GRÜNEN,144
283266582089,action medeor e.V.,action medeor e.V.,139
47930567748,SPD,SPD,134
150380582965,BVMW - Bundesverband mittelständische Wirtschaft,BVMW - Bundesverband mittelständische Wirtschaft,133
111127507727233,Jens Teutrine,Jens Teutrine,131
478399422560922,KadeFungin,DR. KADE,125
124207927630198,WDR,WDR,122
1578640155687393,Sea-Watch,Sea-Watch,117
135203769928944,GRÜNE Rhein-Erft-Kreis,BÜNDNIS 90/DIE GRÜNEN,117
161273245888,Save the Children Deutschland,Save the Children Deutschland,111
614408642007931,Zurich,Zürich Beteiligungs AG,110
109433360575682,Johannes Waldmann,SPD Unterbezirk Coesfeld,107
114186703597807,VIER PFOTEN,VIER PFOTEN,≤100
143389112451336,Grüne im Kreis Steinfurt,BÜNDNIS 90/DIE GRÜNEN,≤100
169367889785454,Arbeitgeberverband Gesamtmetall,Arbeitgeberverband Gesamtmetall,≤100
154423267921909,followfood,followfood,≤100
44511549119,Konrad-Adenauer-Stiftung,Konrad-Adenauer-Stiftung,≤100
1790920000965539,CDU CSU Europa,CDU/CSU-Gruppe in der EVP-Fraktion im Europäischen Parlament,≤100
100778075078440,Innovationsland Deutschland,Bundesministerium für Bildung und Forschung,≤100
440294219388547,Die Grünen Mönchengladbach,BÜNDNIS 90/DIE GRÜNEN,≤100
614408642007931,Zurich,Zürich Beteiligungs AG,≤100
2188342231399828,HSI/Deutschland,HSI/Deutschland,≤100
528133710580430,Bündnis 90/Die Grünen Kreis Mettmann,BÜNDNIS 90/DIE GRÜNEN,≤100
399241730563,Quarks,Westdeutscher Rundfunk Köln,≤100
380349938694731,Mentor Verlag,Mentor Verlag,≤100
289342941106599,Grüne in Bochum,BÜNDNIS 90/DIE GRÜNEN,≤100
327862874003443,Anja Karliczek,"Christlich Demokratische Union Deutschlands (CDU), Kreisverband Steinfurt",≤100
102021661991772,Patrick Büker,FDP-Kreisverband Gütersloh,≤100
344646145674681,Grüne Gütersloh,BÜNDNIS 90/DIE GRÜNEN,≤100
263092007112375,BÜNDNIS 90/DIE GRÜNEN Rhein-Sieg,BÜNDNIS 90/DIE GRÜNEN,≤100
253592560263,Christoffel-Blindenmission (CBM),CBM Christoffel-Blindenmission Christian Blind Mission e.V.,≤100
110976485656573,Junge Liberale JuLis,Junge Liberale,≤100
417905399079008,The Honu Movement,Ocean Plastic Cleanup gemeinnützige GmbH,≤100
225396970851470,Grüne Paderborn,BÜNDNIS 90/DIE GRÜNEN,≤100
41509493347,Diakonie Deutschland,Diakonie Deutschland,≤100
1745982485667400,Guido Reil,Guido Reil,≤100
412708008752200,RaboDirect Deutschland,RaboDirect Deutschland,≤100
127143338110,missio,missio,≤100
629950074295425,Ophelia Nick,Dr. Ophelia Nick,≤100
538936319946884,GermanDream,GermanDream mit Facebook-Werbegutschrift,≤100
147245511963527,DGB,Deutscher Gewerkschaftsbund (DGB),≤100
217879838339082,Bundesministerium für Wirtschaft und Energie,Bundesministerium für Wirtschaft und Energie,≤100
103514875204240,Christoph Schork FDP - Bundestagskandidat,FDP Kreisverband Düsseldorf,≤100
109573920927141,Ichwillfair,Initiative für nachhaltige Agrarlieferketten,≤100
1947378708884004,Initiative Frosch,Initiative Frosch,≤100
194275744507966,CDU Stadtbezirk Rodenkirchen,CDU Köln,≤100
107411260903386,The Mother Nature App,The Mother Nature GmbH,≤100
2010920999000602,Fridays for Future Deutschland,Together for Future e.V.,≤100
213646985410775,DIE LINKE. Düsseldorf,DIE LINKE KVD,≤100
283742725154417,Interactive Media Foundation,Interactive Media Foundation gGmbH,≤100
161674141345516,Weltverbesserer,Die Techniker (TK),≤100
154115737974817,Die Grünen Kreis Viersen,BÜNDNIS 90/DIE GRÜNEN,≤100
81386795687,CSU (Christlich-Soziale Union),CSU (Christlich-Soziale Union),≤100
627352007389234,Diyar Agu,DIE LINKE. Oberberg,≤100
459619670738781,Michaela Engelmeier,SPD Oberberg,≤100
126360456507,Matthias Hauer,Matthias Hauer,≤100
213350178783127,Grüne Düren,BÜNDNIS 90/DIE GRÜNEN,≤100
1189067121115331,Grüne Kreisverband Unna,BÜNDNIS 90/DIE GRÜNEN,≤100
62277894006,Grüne Menden,BÜNDNIS 90/DIE GRÜNEN Ortsverband Menden,≤100
216386408498908,Grüne Kreis Heinsberg,BÜNDNIS 90/DIE GRÜNEN,≤100
1218561858288255,Motaris GmbH,Motaris GmbH,≤100
1566424690272923,Volker Wissing,FDP,≤100
313744767921,der Freitag,der Freitag,≤100
47694585682,DIE LINKE,DIE LINKE,≤100
342607209121004,Grüne Kreis Coesfeld,BÜNDNIS 90/DIE GRÜNEN,≤100
218786540044,WWF Deutschland,WWF Deutschland,≤100
66804412919,Grüne Krefeld,BÜNDNIS 90/DIE GRÜNEN,≤100
479280568919411,Grüne Lippe,BÜNDNIS 90/DIE GRÜNEN,≤100
106928454977874,Robin Conrad,Bündnis 90 / Die Grünen OV Oer-Erkenschwick,≤100
115828496866172,Bündnis 90/Die Grünen Kreisverband Siegen-Wittgenstein,Bündnis 90/Die Grünen Kreisverband Siegen-Wittgenstein,≤100
147409458760059,Gisela Manderla,Gisela Manderla MdB,≤100
212146445598363,Stadtwerke Bielefeld,Stadtwerke Bielefeld GmbH,≤100
