Page ID,Page Name,Disclaimer,Amount Spent (EUR)
82734241364,Campact e.V.,Campact e.V.,207
78502295414,CDU,CDU,170
1565754943752371,Robert Farle,Robert Farle,165
768905426534529,Bundesregierung,Bundesregierung,165
47217143218,BÜNDNIS 90/DIE GRÜNEN,BÜNDNIS 90/DIE GRÜNEN,113
75159424764,Aktion Mensch,Aktion Mensch,112
106637900016,BÜNDNIS 90/DIE GRÜNEN Sachsen-Anhalt,BÜNDNIS 90/DIE GRÜNEN,108
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,101
111033161266569,DeinMorgen,Die Jungen Unternehmer,≤100
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,≤100
83113756872,BÜNDNIS 90/DIE GRÜNEN Magdeburg,BÜNDNIS 90/DIE GRÜNEN,≤100
540404695989874,AfD,AfD,≤100
108165514298122,Zukunft sichern,Zukunft Sichern,≤100
331832984040,LichtBlick,LichtBlick,≤100
21289227249,FDP,FDP,≤100
178362315106,European Parliament,European Parliament,≤100
1312721828781856,Diskutier Mit Mir,Diskutier Mit Mir e.V.,≤100
481033845692472,Entschieden. Gegen Krebs.,ENTSCHIEDEN. Gegen Krebs.,≤100
108566447230388,BÜNDNIS 90/DIE GRÜNEN Kreisverband Altmark,BÜNDNIS 90/DIE GRÜNEN,≤100
23216224900,Plan International Deutschland,Plan International Deutschland,≤100
154149027994068,ZDF,ZDF,≤100
249296718436,IG Metall,IG Metall,≤100
484950398505596,IRC Deutschland,IRC Deutschland,≤100
190633894286732,Diakonie Katastrophenhilfe,These ads ran without a disclaimer,≤100
120655374567,Ökologisch-Demokratische Partei (ÖDP),Ökologisch-Demokratische Partei (ÖDP),≤100
101563306571232,DieLinkeHalle,DIE LINKE.Halle,≤100
113319324330513,Politcheck,Forum für politischen und gesellschaftlichen Informationsaustausch,≤100
224759004224478,BÜNDNIS 90/DIE GRÜNEN Halle (Saale),BÜNDNIS 90/DIE GRÜNEN,≤100
198862383502965,DGB-Jugend Niedersachsen - Bremen - Sachsen-Anhalt,DGB-Jugend Niedersachsen - Bremen - Sachsen-Anhalt,≤100
123523341045520,Die Familienunternehmer,Die Familienunternehmer,≤100
