Page ID,Page Name,Disclaimer,Amount Spent (EUR)
1565754943752371,Robert Farle,Robert Farle,224
78502295414,CDU,CDU,189
64694257920,ProSieben,ProSieben,164
82734241364,Campact e.V.,Campact e.V.,145
47217143218,BÜNDNIS 90/DIE GRÜNEN,BÜNDNIS 90/DIE GRÜNEN,141
106637900016,BÜNDNIS 90/DIE GRÜNEN Sachsen-Anhalt,BÜNDNIS 90/DIE GRÜNEN,139
540404695989874,AfD,AfD,127
21289227249,FDP,FDP,119
75159424764,Aktion Mensch,Aktion Mensch,115
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,≤100
83113756872,BÜNDNIS 90/DIE GRÜNEN Magdeburg,BÜNDNIS 90/DIE GRÜNEN,≤100
117934986793217,Martin Kröber,SPD,≤100
108165514298122,Zukunft sichern,Zukunft Sichern,≤100
331832984040,LichtBlick,LichtBlick,≤100
1078884028800904,AfD-Fraktion Sachsen-Anhalt,Ronny Kumpf,≤100
2010920999000602,Fridays for Future Deutschland,Together for Future e.V.,≤100
86337829141,BÜNDNIS 90/DIE GRÜNEN Sachsen,BÜNDNIS 90/DIE GRÜNEN in Sachsen,≤100
107085727344683,Mein Schlüssel zur Welt,Bundesministerium für Bildung und Forschung,≤100
216483295424239,Torsten Schweiger MdB,Torsten Schweiger,≤100
234239623440650,Christoph Bernstiel,Christoph Bernstiel,≤100
101563306571232,DieLinkeHalle,DIE LINKE.Halle,≤100
47930567748,SPD,SPD,≤100
108566447230388,BÜNDNIS 90/DIE GRÜNEN Kreisverband Altmark,BÜNDNIS 90/DIE GRÜNEN,≤100
481033845692472,Entschieden. Gegen Krebs.,ENTSCHIEDEN. Gegen Krebs.,≤100
484950398505596,IRC Deutschland,IRC Deutschland,≤100
363842953730453,AfD Sachsen-Anhalt,AfD Sachsen-Anhalt,≤100
249296718436,IG Metall,IG Metall,≤100
106637900016,BÜNDNIS 90/DIE GRÜNEN Sachsen-Anhalt,BÜNDNIS 90/DIE GRÜNEN Sachsen-Anhalt,≤100
105954348413329,Bündnis 90/Die Grünen Anhalt-Bitterfeld,BÜNDNIS 90/DIE GRÜNEN,≤100
224759004224478,BÜNDNIS 90/DIE GRÜNEN Halle (Saale),BÜNDNIS 90/DIE GRÜNEN,≤100
