Page ID,Page Name,Disclaimer,Amount Spent (EUR)
108824017345866,Facebook,Facebook Inc.,998
103355385129734,The Climate Pledge,The Climate Pledge,459
130273271119,SPD Hamburg,SPD Hamburg,406
82734241364,Campact e.V.,Campact e.V.,292
134209407129787,Volt Deutschland,Volt Deutschland,291
266691460417403,Christoph Ploß,CDU Hamburg-Nord,259
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,248
47217143218,BÜNDNIS 90/DIE GRÜNEN,BÜNDNIS 90/DIE GRÜNEN,242
1427901547344758,TIMEPARTNER,TimePartner Personalmanagement GmbH,241
169373009772164,Dorothee Martin,Dorothee Martin,195
21289227249,FDP,FDP,182
47930567748,SPD,SPD,144
75159424764,Aktion Mensch,Aktion Mensch,129
1312721828781856,Diskutier Mit Mir,Diskutier Mit Mir e.V.,122
185448971484872,GRÜNE Hamburg-Wandsbek,BÜNDNIS 90/DIE GRÜNEN,117
178737855499666,GRÜNE Hamburg-Mitte,BÜNDNIS 90/DIE GRÜNEN,≤100
123878004343494,GRÜNE Altona,BÜNDNIS 90/DIE GRÜNEN,≤100
111794027823611,Falko Droßmann,Falko Droßmann,≤100
540404695989874,AfD,AfD,≤100
182825388398405,GRÜNE Eimsbüttel,BÜNDNIS 90/DIE GRÜNEN,≤100
123878004343494,GRÜNE Altona,Grüne Altona,≤100
484950398505596,IRC Deutschland,IRC Deutschland,≤100
173796242642081,CDU Hamburg,"Christlich Demokratische Union Deutschlands, Landesverband Hamburg (CDU Hamburg)",≤100
142024479142638,GRÜNE Hamburg-Nord,BÜNDNIS 90/DIE GRÜNEN,≤100
236934790401,UNO-Flüchtlingshilfe,UNO-Flüchtlingshilfe,≤100
107085727344683,Mein Schlüssel zur Welt,Bundesministerium für Bildung und Forschung,≤100
314108793081,recolution,recolution GmbH & Co. KG,≤100
23216224900,Plan International Deutschland,Plan International Deutschland,≤100
136260152219,World Vision Deutschland e.V.,World Vision Deutschland e.V.,≤100
123523341045520,Die Familienunternehmer,Die Familienunternehmer,≤100
160969310615680,GRÜNE Harburg,BÜNDNIS 90/DIE GRÜNEN,≤100
1517688175031426,Franziska Hoppermann,CDU Kreisverband Wandsbek,≤100
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,≤100
170688644503,UNICEF Deutschland,UNICEF Deutschland,≤100
78502295414,CDU,CDU,≤100
2010920999000602,Fridays for Future Deutschland,Together for Future e.V.,≤100
251214968313715,SPD Eimsbüttel,SPD Eimsbüttel,≤100
101094999966880,Christoph de Vries,Christoph Bernhard De Vries,≤100
249296718436,IG Metall,IG Metall,≤100
47694585682,DIE LINKE,DIE LINKE,≤100
360162814034907,Dr. Michael von Abercron,CDU Kreisverband Pinneberg,≤100
1578640155687393,Sea-Watch,Sea-Watch,≤100
176731092354724,Grüne Bergedorf,BÜNDNIS 90/DIE GRÜNEN,≤100
906048772822472,AfD Hamburg-Wandsbek,AfD Hamburg-Wandsbek,≤100
400646766650321,Blinkist,Blinks Labs GmbH,≤100
104032794633377,Mein BAföG,Bundesministerium für Bildung und Forschung,≤100
108165514298122,Zukunft sichern,Zukunft Sichern,≤100
2061551714066701,Rise and Shine Cinema,Rise and Shine Cinema,≤100
112981306741840,Klimastreik - Zusammen mit Fridays For Future auf die Straßen,klima-streik.org,≤100
331832984040,LichtBlick,LichtBlick,≤100
601163706652420,Niels Annen,SPD Eimsbüttel,≤100
478399422560922,KadeFungin,DR. KADE,≤100
161273245888,Save the Children Deutschland,Save the Children Deutschland,≤100
182588003457,SPD Wandsbek,SPD Kreis Wandsbek,≤100
481033845692472,Entschieden. Gegen Krebs.,ENTSCHIEDEN. Gegen Krebs.,≤100
120655374567,Ökologisch-Demokratische Partei (ÖDP),Ökologisch-Demokratische Partei (ÖDP),≤100
113319324330513,Politcheck,Forum für politischen und gesellschaftlichen Informationsaustausch,≤100
417905399079008,The Honu Movement,Plastic Free Planet gemeinnützige GmbH,≤100
179649492694260,AfD Hamburg-Bergedorf,Eugen Seiler,≤100
101100744854888,Sunvigo,These ads ran without a disclaimer,≤100
108268845888673,Bundesministerium für Arbeit und Soziales,Bundesministerium für Arbeit und Soziales,≤100
161674141345516,Weltverbesserer,Die Techniker (TK),≤100
178362315106,European Parliament,European Parliament,≤100
248913988520756,Union Investment,Union Investment Privatfonds GmbH,≤100
113128444150202,Philipp Rösch,Philipp Rösch,≤100
81386795687,CSU (Christlich-Soziale Union),CSU (Christlich-Soziale Union),≤100
340332092731147,Svenja Stadler,SPD Landkreis Harburg,≤100
1566424690272923,Volker Wissing,FDP,≤100
160969310615680,GRÜNE Harburg,BÜNDNIS 90/DIE GRÜNEN Kreisverband Harburg,≤100
143504445664134,Christian Lindner,FDP,≤100
228606667667157,MPULSE,Metro AG,≤100
253592560263,Christoffel-Blindenmission (CBM),CBM Christoffel-Blindenmission Christian Blind Mission e.V.,≤100
114554831934355,Tierschutzbund,Deutscher Tierschutzbund e.V.,≤100
183292338524573,Nestlé,Nestlé Deutschland,≤100
718677004826671,Deutsche Umwelthilfe,Deutsche Umwelthilfe,≤100
614408642007931,Zurich,Zürich Beteiligungs AG,≤100
150380582965,BVMW - Bundesverband mittelständische Wirtschaft,BVMW - Bundesverband mittelständische Wirtschaft,≤100
114186703597807,VIER PFOTEN,VIER PFOTEN,≤100
100572773318575,Ärzte der Welt,Ärzte der Welt,≤100
44511549119,Konrad-Adenauer-Stiftung,Konrad-Adenauer-Stiftung,≤100
100778075078440,Innovationsland Deutschland,Bundesministerium für Bildung und Forschung,≤100
399241730563,Quarks,Westdeutscher Rundfunk Köln,≤100
453150811428411,Mastercard,Mastercard,≤100
104228758621197,Hocker statt Höcke - Deutschland. Aber tolerant.,Rainer Opolka,≤100
103797078423814,MietenstoppDe,Kampagne MIETENSTOPP,≤100
593476900673774,ifaw,ifaw,≤100
1864377573854528,Grüne Segeberg,BÜNDNIS 90/DIE GRÜNEN,≤100
102608544969110,Posterisan,DR. KADE,≤100
100232532268354,Umfrage - Soziale Konflikte,Freie Universität Berlin,≤100
41509493347,Diakonie Deutschland,Diakonie Deutschland,≤100
313744767921,der Freitag,der Freitag,≤100
127143338110,missio,missio,≤100
116335026590900,Mülltrennung wirkt,die dualen Systeme,≤100
105674117452029,Mizgin Ciftci,DIE LINKE. Osterholz,≤100
121678260974,Initiative Neue Soziale Marktwirtschaft (INSM),Initiative Neue Soziale Marktwirtschaft (INSM),≤100
126808887372686,FDP Lüneburg Kreisverband Lüneburg,FDP Kreisverband Lüneburg,≤100
485303194814631,Deutsche Post,Deutsche Post,≤100
1563759740356396,AfD Bezirk Hamburg-Eimsbüttel,AfD Bezirk Hamburg-Eimsbüttel,≤100
538936319946884,GermanDream,GermanDream mit Facebook-Werbegutschrift,≤100
223829854355699,Frosch,Frosch,≤100
188526501229083,GRÜNE Kreis Pinneberg,BÜNDNIS 90/DIE GRÜNEN,≤100
107411260903386,The Mother Nature App,The Mother Nature GmbH,≤100
314610442075420,TeamClimate,TeamClimate,≤100
101285651990166,Planted,Planted HQ gGmbH,≤100
128440447895402,Jeder Tag zählt e.V.,Jeder Tag zählt e.V.,≤100
109573920927141,Ichwillfair,Initiative für nachhaltige Agrarlieferketten,≤100
1947378708884004,Initiative Frosch,Initiative Frosch,≤100
1119942894694068,Hamburger Hilfskonvoi,Christian Großeholz,≤100
1691758141087143,Büning Creative Wohngestalter,Büning Creative Wohngestalter,≤100
118418024890466,Familienbetriebe Land und Forst e.V.,Familienbetriebe Land und Forst,≤100
110976485656573,Junge Liberale JuLis,Junge Liberale,≤100
1573522012860933,Grüne Herzogtum Lauenburg,Bündnis 90/Die Grünen  Kreisverband Hzgt. Lauenburg,≤100
102717265242302,Bengt Bergt,SPD Kreisvorstand Segeberg,≤100
1609555372394092,17 Ziele,Engagement Global - Service für Entwicklungsinitiativen,≤100
380349938694731,Mentor Verlag,Mentor Verlag,≤100
154149027994068,ZDF,ZDF,≤100
101174098562516,Manfred Eertmoed - Ihr Bürgermeisterkandidat,Manfred Eertmoed,≤100
154423267921909,followfood,followfood,≤100
137344243082841,Grüne Stormarn,Bündnis 90 / Die Grünen Stormarn,≤100
131470655621,Deutscher Hanfverband (DHV),Deutscher Hanfverband (DHV),≤100
147245511963527,DGB,Deutscher Gewerkschaftsbund (DGB),≤100
283742725154417,Interactive Media Foundation,Interactive Media Foundation gGmbH,≤100
102093952999,Reeperbahn Festival,Reeperbahn Festival,≤100
310213709080950,Jürgen Höller,These ads ran without a disclaimer,≤100
2188342231399828,HSI/Deutschland,HSI/Deutschland,≤100
413826305343387,Krautreporter,Krautreporter,≤100
1412245292410253,Güngör Yilmaz,Güngör Yilmaz,≤100
