Page ID,Page Name,Disclaimer,Amount Spent (EUR)
103355385129734,The Climate Pledge,The Climate Pledge,209
319040328150027,Facebook Politik und Gesellschaft,Facebook Politik und Gesellschaft,131
82734241364,Campact e.V.,Campact e.V.,107
207429192606075,Grüne Bremen,BÜNDNIS 90/DIE GRÜNEN,≤100
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,≤100
21289227249,FDP,FDP,≤100
75159424764,Aktion Mensch,Aktion Mensch,≤100
124490052865,Xbox DACH,These ads ran without a disclaimer,≤100
1312721828781856,Diskutier Mit Mir,Diskutier Mit Mir e.V.,≤100
47217143218,BÜNDNIS 90/DIE GRÜNEN,BÜNDNIS 90/DIE GRÜNEN,≤100
47930567748,SPD,SPD,≤100
540404695989874,AfD,AfD,≤100
425527817657161,SPD Ritterhude,SPD Ritterhude,≤100
107085727344683,Mein Schlüssel zur Welt,Bundesministerium für Bildung und Forschung,≤100
101889315269599,Wiebke Winter,CDU Kreisverband Bremen-Nord,≤100
1442955239271706,Grüne Bremerhaven,BÜNDNIS 90/DIE GRÜNEN,≤100
2010920999000602,Fridays for Future Deutschland,Together for Future e.V.,≤100
123523341045520,Die Familienunternehmer,Die Familienunternehmer,≤100
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,≤100
484950398505596,IRC Deutschland,IRC Deutschland,≤100
152934608113175,FDP Bremen,FDP Bremen,≤100
104032794633377,Mein BAföG,Bundesministerium für Bildung und Forschung,≤100
331832984040,LichtBlick,LichtBlick,≤100
23216224900,Plan International Deutschland,Plan International Deutschland,≤100
249296718436,IG Metall,IG Metall,≤100
170688644503,UNICEF Deutschland,UNICEF Deutschland,≤100
47694585682,DIE LINKE,DIE LINKE,≤100
236934790401,UNO-Flüchtlingshilfe,UNO-Flüchtlingshilfe,≤100
112326918787579,CDU Bremen,"CDU Bremen, Landesverband",≤100
107347244444963,Henrik Wärner,Henrik Wärner,≤100
108165514298122,Zukunft sichern,Zukunft Sichern,≤100
198862383502965,DGB-Jugend Niedersachsen - Bremen - Sachsen-Anhalt,DGB-Jugend Niedersachsen - Bremen - Sachsen-Anhalt,≤100
157356341028362,Jusos im Landkreis Diepholz,Jusos im Landkreis Diepholz,≤100
117336183727777,Kim Fürwentsches,BÜNDNIS 90/DIE GRÜNEN Kreisverband Osterholz,≤100
120655374567,Ökologisch-Demokratische Partei (ÖDP),Ökologisch-Demokratische Partei (ÖDP),≤100
175883969135016,FDP Ganderkesee,FDP Ganderkesee,≤100
1578640155687393,Sea-Watch,Sea-Watch,≤100
478399422560922,KadeFungin,DR. KADE,≤100
81386795687,CSU (Christlich-Soziale Union),CSU (Christlich-Soziale Union),≤100
105674117452029,Mizgin Ciftci,DIE LINKE. Osterholz,≤100
113319324330513,Politcheck,Forum für politischen und gesellschaftlichen Informationsaustausch,≤100
614408642007931,Zurich,Zürich Beteiligungs AG,≤100
400646766650321,Blinkist,Blinks Labs GmbH,≤100
161273245888,Save the Children Deutschland,Save the Children Deutschland,≤100
112981306741840,Klimastreik - Zusammen mit Fridays For Future auf die Straßen,klima-streik.org,≤100
154423267921909,followfood,followfood,≤100
196114277078358,DIE LINKE Land Bremen,DIE LINKE Land Bremen,≤100
104228758621197,Hocker statt Höcke - Deutschland. Aber tolerant.,Rainer Opolka,≤100
183292338524573,Nestlé,Nestlé Deutschland,≤100
108268845888673,Bundesministerium für Arbeit und Soziales,Bundesministerium für Arbeit und Soziales,≤100
