Page ID,Page Name,Disclaimer,Amount Spent (EUR)
103355385129734,The Climate Pledge,The Climate Pledge,3112
78502295414,CDU,CDU,1414
47217143218,BÜNDNIS 90/DIE GRÜNEN,BÜNDNIS 90/DIE GRÜNEN,1375
82734241364,Campact e.V.,Campact e.V.,1304
319040328150027,Facebook Politik und Gesellschaft,Facebook Politik und Gesellschaft,1275
81386795687,CSU (Christlich-Soziale Union),CSU (Christlich-Soziale Union),934
21289227249,FDP,FDP,934
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,922
350558562311,FDP Bayern,FDP Bayern,905
75159424764,Aktion Mensch,Aktion Mensch,712
540404695989874,AfD,AfD,690
178362315106,European Parliament,European Parliament,610
108824017345866,Facebook,Facebook Inc.,471
47930567748,SPD,SPD,361
1026865247418194,Daniel Föst,Daniel Föst,314
107085727344683,Mein Schlüssel zur Welt,Bundesministerium für Bildung und Forschung,301
103265228734073,Stephan Mayer 2021,CSU-Bürgerbüro,296
109478215738226,Armin Laschet,CDU,269
400646766650321,Blinkist,Blinks Labs GmbH,257
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,236
47694585682,DIE LINKE,DIE LINKE,224
113319324330513,Politcheck,Forum für politischen und gesellschaftlichen Informationsaustausch,216
2010920999000602,Fridays for Future Deutschland,Together for Future e.V.,214
123523341045520,Die Familienunternehmer,Die Familienunternehmer,213
381177051962,Grüne München,BÜNDNIS 90/DIE GRÜNEN,209
23216224900,Plan International Deutschland,Plan International Deutschland,198
249296718436,IG Metall,IG Metall,194
331832984040,LichtBlick,LichtBlick,187
236934790401,UNO-Flüchtlingshilfe,UNO-Flüchtlingshilfe,183
154149027994068,ZDF,ZDF,179
180662952116501,Konrad Dippel - parteifreier Bundestagskandidat,Konrad Dippel,178
481033845692472,Entschieden. Gegen Krebs.,ENTSCHIEDEN. Gegen Krebs.,174
1299185570141113,"Stephan Pilsinger, MdB",Stephan Nikolaus Pilsinger,173
484950398505596,IRC Deutschland,IRC Deutschland,172
134209407129787,Volt Deutschland,Volt Deutschland,171
1672408719723194,Deutschland3000,funk,170
376601206024823,DIE DA OBEN!,funk,166
130762413606684,Junge Liberale JuLis Oberbayern,Junge Liberale Oberbayern,163
100755981968185,Seija Knorr-Köning,Seija Knorr-Köning,149
120655374567,Ökologisch-Demokratische Partei (ÖDP),Ökologisch-Demokratische Partei (ÖDP),149
131470655621,Deutscher Hanfverband (DHV),Deutscher Hanfverband (DHV),148
614408642007931,Zurich,Zürich Beteiligungs AG,147
114554831934355,Tierschutzbund,Deutscher Tierschutzbund e.V.,146
170688644503,UNICEF Deutschland,UNICEF Deutschland,144
104032794633377,Mein BAföG,Bundesministerium für Bildung und Forschung,142
100626975577223,TeamAlexander21,"Alexander Radwan, MdB",139
111033161266569,DeinMorgen,Die Jungen Unternehmer,136
136260152219,World Vision Deutschland e.V.,World Vision Deutschland e.V.,122
108165514298122,Zukunft sichern,Zukunft Sichern,120
453150811428411,Mastercard,Mastercard,113
505129172840528,Landkreis Erding,Landkreis Erding,105
110976485656573,Junge Liberale JuLis,Junge Liberale,104
158888744130107,Hubert Aiwanger Minister Bundesvors. Freie Wähler,Hubert Aiwanger,≤100
1428843544012709,AfD KV Aschaffenburg,AfD-Kreisverband Aschaffenburg,≤100
161273245888,Save the Children Deutschland,Save the Children Deutschland,≤100
285059978218487,FDP Oberbayern,FDP Oberbayern,≤100
383045615057842,Thomas Dehler Stiftung,Sebastian Zajonz,≤100
124651027557566,PHOENIX,phoenix,≤100
414164615335900,Grüne Landkreis Augsburg,Bündnis 90 / Die GRÜNEN Kreisverband Augsburg-Land,≤100
123317111021370,Anja Weisgerber,CSU BWK Schweinfurt-Kitzingen,≤100
404775586259729,Grüner Kreisverband Stadt und Landkreis Rosenheim,Bündnis 90/DIE GRÜNEN Kreisverband Rosenheim,≤100
110017094494455,Thomas Grämmer,SPD Nürnberg,≤100
223829854355699,Frosch,Frosch,≤100
112981306741840,Klimastreik - Zusammen mit Fridays For Future auf die Straßen,klima-streik.org,≤100
245945852526795,Andrew Ullmann,FDP Kreisverband Würzburg-Stadt,≤100
614408642007931,Zurich,Zürich Beteiligungs AG,≤100
107244088251653,Alexander Engelhard,Alexander Karl Engelhard,≤100
183292338524573,Nestlé,Nestlé Deutschland,≤100
104150167868286,eine für alle - Die Studierendenbefragung,Deutsches Studentenwerk e.V.,≤100
1578640155687393,Sea-Watch,Sea-Watch,≤100
401006200007303,Silke Launert,Silke Launert,≤100
133430763472093,Gabriela Heinrich,SPD Nürnberg,≤100
166140796751166,Bündnis 90/Die Grünen Nürnberg,BÜNDNIS 90/DIE GRÜNEN,≤100
173138849399254,FDP Nürnberg,FDP Nürnberg,≤100
114186703597807,VIER PFOTEN,VIER PFOTEN,≤100
248913988520756,Union Investment,Union Investment Privatfonds GmbH,≤100
118418024890466,Familienbetriebe Land und Forst e.V.,Familienbetriebe Land und Forst,≤100
120479081330563,Körber-Stiftung,Körber-Stiftung,≤100
199517326737409,FDP Unterfranken,Max Bruder,≤100
170357783014155,GRÜNE Landkreis München,BÜNDNIS 90/DIE GRÜNEN,≤100
44511549119,Konrad-Adenauer-Stiftung,Konrad-Adenauer-Stiftung,≤100
104228758621197,Hocker statt Höcke - Deutschland. Aber tolerant.,Rainer Opolka,≤100
152190608236782,Grüne Kreisverband Starnberg,BÜNDNIS 90/DIE GRÜNEN,≤100
10150158634595002,Grüne Augsburg,Bündnis 90/DIE GRÜNEN Stadtverband Augsburg,≤100
369788469704917,Bündnis 90/Die Grünen Kelheim,BÜNDNIS 90/DIE GRÜNEN,≤100
265222623501426,Grüne Regensburg,BÜNDNIS 90/DIE GRÜNEN,≤100
593476900673774,ifaw,ifaw,≤100
123103607735306,PRO ASYL,PRO ASYL,≤100
138187167349,"Sabine Dittmar, MdB","Sabine Dittmar, MdB",≤100
45872374946,GREENPEACE MAGAZIN,GREENPEACE MAGAZIN,≤100
119259598130965,Bildungsstätte Anne Frank,Bildungsstätte Anne Frank,≤100
138828612811001,Bündnis 90/Die Grünen Fürth,BÜNDNIS 90/DIE GRÜNEN,≤100
552665968451273,Severin Eder,Severin Johannes Antonin Eder,≤100
253592560263,Christoffel-Blindenmission (CBM),CBM Christoffel-Blindenmission Christian Blind Mission e.V.,≤100
561953460655717,Social Media Ads,Alexander Dietrich,≤100
763596953730574,Die PARTEI KV Rosenheim,Die PARTEI KV Rosenheim,≤100
545040792244231,"Dr. Fabian Mehring, MdL",Dr. Fabian Mehring,≤100
542254889256085,AfD Oberbayern,Wolfgang Wiehle,≤100
501380493240659,Grüne Passau-Stadt,BÜNDNIS 90/DIE GRÜNEN,≤100
212051698829743,GRÜNE Kreis Fürstenfeldbruck,BÜNDNIS 90/DIE GRÜNEN,≤100
204451377322,GRÜNE Ingolstadt,Bündnis 90/ Die Grünen Ingolstadt,≤100
105308764989535,Wolfgang Ehrenlechner,BÜNDNIS 90/DIE GRÜNEN,≤100
263503200272,Welthungerhilfe,Welthungerhilfe,≤100
115739536523104,"Bayerisches Staatsministerium für Wirtschaft, Landesentwicklung und Energie","Bayerisches Staatsministerium für Wirtschaft, Landesentwicklung und Energie",≤100
598216760241817,Anton Hofreiter,GRÜNE Landkreis München,≤100
116035088478181,FDP Oberallgäu,FDP Oberallgäu,≤100
278699465908771,Thomas Erndl MdB,Thomas Erndl MdB,≤100
105308764989535,Wolfgang Ehrenlechner,BÜNDNIS 90/DIE GRÜNEN Kreisverband BGL,≤100
1508446642792459,Vattenfall Deutschland,Vattenfall Deutschland,≤100
142616569135649,Bayerisches Staatsministerium für Umwelt und Verbraucherschutz,Bayerisches Staatsministerium für Umwelt und Verbraucherschutz,≤100
1130431107039858,Sebastian Roloff,Sebastian Roloff,≤100
111495670208138,SPD Weißenburg-Gunzenhausen,SPD-Kreisverband Weißenburg-Gunzenhausen,≤100
154859614570066,Bündnis 90 / Die Grünen Kreisverband Erding,BÜNDNIS 90/DIE GRÜNEN,≤100
381177051962,Grüne München,Bündnis 90/Die Grünen KV München,≤100
186375644742050,Nemetschek Stiftung,Nemetschek Stiftung,≤100
105265511753865,Marcel Emmerich,Marcel Emmerich,≤100
161674141345516,Weltverbesserer,Die Techniker (TK),≤100
102419735008984,Johannes Wagner,Johannes Wagner,≤100
143504445664134,Christian Lindner,FDP,≤100
127608807419079,Andreas Scheuer,CSU-Bundeswahlkreisgeschäftsstelle Passau,≤100
409561472408666,Andrea Lindholz,Konstantin Johannes Knopp,≤100
107978313959713,Stefan Lindauer,Stefan Lindauer,≤100
492112370837905,Die Grünen KV Coburg-Stadt,BÜNDNIS 90/DIE GRÜNEN,≤100
126140831329352,Bündnis 90/Die Grünen - Kreisverband Hof,BÜNDNIS 90/DIE GRÜNEN,≤100
538234656217003,Grüne KV Günzburg,BÜNDNIS 90/DIE GRÜNEN,≤100
154423267921909,followfood,followfood,≤100
886463838049032,Anette Kramme,"Anette Kramme, MdB",≤100
258191139993,GRÜNE Bayern,GRÜNE Bayern,≤100
169367889785454,Arbeitgeberverband Gesamtmetall,Arbeitgeberverband Gesamtmetall,≤100
718677004826671,Deutsche Umwelthilfe,Deutsche Umwelthilfe,≤100
101508071902549,Magdalena Wagner,Magdalena Maria Wagner,≤100
1110204782371616,Die Moderne Landwirtschaft,Forum Moderne Landwirtschaft e.V.,≤100
107268848302529,Elli - A brand of the Volkswagen Group,Volkswagen Group Charging GmbH,≤100
80262267676,Grüne Erlangen,BÜNDNIS 90/DIE GRÜNEN,≤100
488659807839144,GRÜNE im Landkreis Lindau,BÜNDNIS 90/DIE GRÜNEN,≤100
100572773318575,Ärzte der Welt,Ärzte der Welt,≤100
248816661861401,Grüne Dillingen a. d. Donau/ Kreisverband,BÜNDNIS 90/DIE GRÜNEN,≤100
237156343076377,"Andreas Wagner, MdB",Andreas Stefan Wagner,≤100
1085807118198428,AfD München West/Mitte,AfD Kreisverband München West/Mitte,≤100
101910071704104,Dr. Carolin Wagner,Carolin Wagner,≤100
502163379819352,Claudia Tausend,SPD München-Ost,≤100
1427745830818618,Grüne Neu-Ulm,BÜNDNIS 90/DIE GRÜNEN,≤100
107411260903386,The Mother Nature App,The Mother Nature GmbH,≤100
343364921106,Caritas international,Caritas international,≤100
27036182994,Jusos München,Jusos München,≤100
41509493347,Diakonie Deutschland,Diakonie Deutschland,≤100
100471655645989,Tobias Winkler,CSU Fürth,≤100
261985647756704,AfD im EU-Parlament,AfD im EU-Parlament,≤100
1691444984516950,Andreas Mehltretter,Andreas Maximilian Mehltretter,≤100
103534684828854,Bündnis 90 / Die Grünen KV Neumarkt,BÜNDNIS 90/DIE GRÜNEN,≤100
128440447895402,Jeder Tag zählt e.V.,Jeder Tag zählt e.V.,≤100
165629350137468,Schaebens,Schaebens,≤100
101355968352320,Freie Wähler Landkreis Bamberg,FREIE WÄHLER Bamberg-Land,≤100
140922089264892,Grüne Ebersberg,BÜNDNIS 90/DIE GRÜNEN,≤100
1609555372394092,17 Ziele,Engagement Global - Service für Entwicklungsinitiativen,≤100
354269961324015,Grüne Kulmbach,BÜNDNIS 90/DIE GRÜNEN,≤100
387997777920068,GRÜNE Fürth-Land,GRÜNE Fürth-Land,≤100
763657517169359,CSU Oberfranken,CSU Bezirk Oberfranken,≤100
308243095957112,Karl Bär,Bündnis 90/DIE GRÜNEN Kreisverband Miesbach,≤100
110525134560449,Grüne Erlangen-Höchstadt,BÜNDNIS 90/DIE GRÜNEN,≤100
166316026769607,FDP Fürstenfeldbruck,FDP Kreisverband Fürstenfeldbruck,≤100
674596326314705,ANK Personalvermittlung GmbH,Ahmet Kervan,≤100
182704598535,Open Doors Deutschland,Open Doors Deutschland,≤100
103970902017298,Wahl-plakate.com,wahl-plakate.com,≤100
146049068749703,BayernSPD Landtagsfraktion,BayernSPD Landtagsfraktion,≤100
2188342231399828,HSI/Deutschland,HSI/Deutschland,≤100
538936319946884,GermanDream,GermanDream mit Facebook-Werbegutschrift,≤100
