Page ID,Page Name,Disclaimer,Amount Spent (EUR)
103355385129734,The Climate Pledge,The Climate Pledge,342
319040328150027,Facebook Politik und Gesellschaft,Facebook Politik und Gesellschaft,220
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,199
47217143218,BÜNDNIS 90/DIE GRÜNEN,BÜNDNIS 90/DIE GRÜNEN,178
78502295414,CDU,CDU,170
82734241364,Campact e.V.,Campact e.V.,158
108826898029,Uwe Feiler,Uwe Feiler,149
21289227249,FDP,FDP,120
540404695989874,AfD,AfD,117
75159424764,Aktion Mensch,Aktion Mensch,≤100
531504136955879,BVB / Freie Wähler - Fraktion im Landtag Brandenburg,BVB / FREIE WÄHLER Fraktion,≤100
118585603105337,Sonja Eichwede,Sozialdemokratischen Partei Deutschlands (SPD),≤100
115602575294020,AfD Brandenburg,AfD Brandenburg,≤100
103558289679671,Bündnis 90/Die Grünen Berlin,Die Landesgeschäftsführung von Bündnis 90/Die Grünen Berlin,≤100
102707588547089,Sabine Buder,Dr. Sabine Buder,≤100
47930567748,SPD,SPD,≤100
508980172628755,Dr. Saskia Ludwig,Dr. Saskia Ludwig,≤100
423387691111888,Mathias Papendieck,Mathias Papendieck,≤100
185185478353375,Norbert Müller,Norbert Carl Müller,≤100
47694585682,DIE LINKE,DIE LINKE,≤100
107085727344683,Mein Schlüssel zur Welt,Bundesministerium für Bildung und Forschung,≤100
109478215738226,Armin Laschet,CDU,≤100
100432425468007,Fahrrad_Berlin,"Senatsverwaltung für Umwelt, Verkehr und Klimaschutz",≤100
101306745479644,Frank Balzer,"Christlich Demokratische Union, Kreisverband Reinickendorf",≤100
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,≤100
64694257920,ProSieben,ProSieben,≤100
108165514298122,Zukunft sichern,Zukunft Sichern,≤100
400646766650321,Blinkist,Blinks Labs GmbH,≤100
331832984040,LichtBlick,LichtBlick,≤100
1434045933475301,BÜNDNIS 90 / DIE GRÜNEN - Kreisverband Potsdam Mittelmark,BÜNDNIS 90/DIE GRÜNEN,≤100
2010920999000602,Fridays for Future Deutschland,Together for Future e.V.,≤100
671088153327157,Grueneprignitz,BÜNDNIS 90/DIE GRÜNEN,≤100
120655374567,Ökologisch-Demokratische Partei (ÖDP),Ökologisch-Demokratische Partei (ÖDP),≤100
123523341045520,Die Familienunternehmer,Die Familienunternehmer,≤100
481033845692472,Entschieden. Gegen Krebs.,ENTSCHIEDEN. Gegen Krebs.,≤100
103451418713936,Rico Obenauf - Landrat für Märkisch-Oderland,BVB / FREIE WÄHLER - Rico Obenauf,≤100
249296718436,IG Metall,IG Metall,≤100
154149027994068,ZDF,ZDF,≤100
1675394899406675,Annalena Baerbock,BÜNDNIS 90/DIE GRÜNEN,≤100
23216224900,Plan International Deutschland,Plan International Deutschland,≤100
118776688142153,enviaM,envia Mitteldeutsche Energie AG,≤100
112981306741840,Klimastreik - Zusammen mit Fridays For Future auf die Straßen,klima-streik.org,≤100
1409158162635160,Bündnis 90/ Die Grünen - Märkisch Oderland,BÜNDNIS 90/DIE GRÜNEN,≤100
401370160009955,BÜNDNIS 90/ DIE GRÜNEN KV Potsdam,BÜNDNIS 90/DIE GRÜNEN,≤100
139085289609798,Sebastian Steineke,Sebastian Steineke Mitglied des Bundestages,≤100
100539700021110,Bündnis 90/Die Grünen Oder-Spree,BÜNDNIS 90/DIE GRÜNEN,≤100
149368588572497,Grüner Kreisverband Oberhavel,BÜNDNIS 90/DIE GRÜNEN,≤100
779079738810445,FDP Potsdam-Mittelmark,FDP Potsdam-Mittelmark,≤100
376601206024823,DIE DA OBEN!,funk,≤100
1206636992847235,Dominik Kaufner,Dominik Alexander Kaufner,≤100
114554831934355,Tierschutzbund,Deutscher Tierschutzbund e.V.,≤100
592280557638475,Jens Beeck,Jens Beeck,≤100
234636206679771,Stefan Zierke,Stefan Zierke,≤100
293150187371037,DIE LINKE. Brandenburg,DIE LINKE. Brandenburg,≤100
1768812013390432,Kleiner Fünf,Kleiner Fünf,≤100
1672408719723194,Deutschland3000,funk,≤100
700577889971139,PENNY,PENNY,≤100
178362315106,European Parliament,European Parliament,≤100
113319324330513,Politcheck,Forum für politischen und gesellschaftlichen Informationsaustausch,≤100
136260152219,World Vision Deutschland e.V.,World Vision Deutschland e.V.,≤100
178122968958861,BÜNDNIS 90/DIE GRÜNEN Teltow-Fläming,BÜNDNIS 90/DIE GRÜNEN,≤100
223119367812240,Dietlind Biesterfeld,Dietlind Juliane Biesterfeld,≤100
170688644503,UNICEF Deutschland,UNICEF Deutschland,≤100
1867495213504775,Sylvia Lehmann,"Sylvia Lehmann, MdB",≤100
484950398505596,IRC Deutschland,IRC Deutschland,≤100
170403846324261,svz.de - Nachrichten aus Mecklenburg-Vorpommern,Zeitungsverlag Schwerin GmbH & Co. KG,≤100
101124947919410,GermanZero,Germanzero,≤100
104032794633377,Mein BAföG,Bundesministerium für Bildung und Forschung,≤100
732341716792014,AfD Potsdam,AfD-Potsdam,≤100
