Page ID,Page Name,Disclaimer,Amount Spent (EUR)
47217143218,BÜNDNIS 90/DIE GRÜNEN,BÜNDNIS 90/DIE GRÜNEN,4681
103355385129734,The Climate Pledge,The Climate Pledge,2632
78502295414,CDU,CDU,2595
319040328150027,Facebook Politik und Gesellschaft,Facebook Politik und Gesellschaft,1330
82734241364,Campact e.V.,Campact e.V.,1323
21289227249,FDP,FDP,977
75159424764,Aktion Mensch,Aktion Mensch,637
135445149965726,Kai Whittaker,Kai Whittaker,618
123523341045520,Die Familienunternehmer,Die Familienunternehmer,533
540404695989874,AfD,AfD,522
1675394899406675,Annalena Baerbock,BÜNDNIS 90/DIE GRÜNEN,503
400646766650321,Blinkist,Blinks Labs GmbH,480
47930567748,SPD,SPD,443
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,433
1655252804795367,Oatly,Oatly,423
308675340042451,Stuttgart macht's rein.,Landeshauptstadt Stuttgart ,385
107085727344683,Mein Schlüssel zur Welt,Bundesministerium für Bildung und Forschung,373
111033161266569,DeinMorgen,Die Jungen Unternehmer,306
109478215738226,Armin Laschet,CDU,297
139782149374162,Benjamin Strasser,Benjamin Strasser,254
136260152219,World Vision Deutschland e.V.,World Vision Deutschland e.V.,216
47694585682,DIE LINKE,DIE LINKE,215
137019056359309,Felix Schreiner,Felix Schreiner,203
178362315106,European Parliament,European Parliament,201
484950398505596,IRC Deutschland,IRC Deutschland,192
614408642007931,Zurich,Zürich Beteiligungs AG,192
197640170649147,funk,funk,191
249296718436,IG Metall,IG Metall,181
154149027994068,ZDF,ZDF,171
1672408719723194,Deutschland3000,funk,165
170723476273472,Grüne Kreisverband Ludwigsburg,BÜNDNIS 90/DIE GRÜNEN,159
23216224900,Plan International Deutschland,Plan International Deutschland,157
2010920999000602,Fridays for Future Deutschland,Together for Future e.V.,153
241400009229424,FDP Baden-Württemberg,FDP Baden-Württemberg,150
376601206024823,DIE DA OBEN!,funk,150
108165514298122,Zukunft sichern,Zukunft Sichern,149
