Page ID,Page Name,Disclaimer,Amount Spent (EUR)
47217143218,BÜNDNIS 90/DIE GRÜNEN,BÜNDNIS 90/DIE GRÜNEN,1108
47930567748,SPD,SPD,815
103355385129734,The Climate Pledge,The Climate Pledge,655
82734241364,Campact e.V.,Campact e.V.,643
78502295414,CDU,CDU,477
319040328150027,Facebook Politik und Gesellschaft,Facebook Politik und Gesellschaft,359
540404695989874,AfD,AfD,271
75159424764,Aktion Mensch,Aktion Mensch,227
102534893738681,Alexander Krauß MdB,Alexander Krauß MdB,213
86337829141,BÜNDNIS 90/DIE GRÜNEN Sachsen,BÜNDNIS 90/DIE GRÜNEN in Sachsen,213
105205171835668,Zervakis & Opdenhövel. Live.,ProSieben,195
1655252804795367,Oatly,Oatly,181
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,167
117194528903,Bündnis 90 / Die Grünen Leipzig,BÜNDNIS 90/DIE GRÜNEN,161
21289227249,FDP,FDP,151
47694585682,DIE LINKE,DIE LINKE,137
400646766650321,Blinkist,Blinks Labs GmbH,136
64694257920,ProSieben,ProSieben,121
66426617453,FDP Sachsen,FDP Sachsen,113
108165514298122,Zukunft sichern,Zukunft Sichern,110
103129798545640,Florian Oest,CDU Kreisverband Görlitz,107
190444274351656,Bündnis 90 / Die Grünen Dresden,BÜNDNIS 90/DIE GRÜNEN,102
111033161266569,DeinMorgen,Die Jungen Unternehmer,≤100
375109771472,Freie Presse,Freie Presse,≤100
114526780851686,Ronald Härtlein,Ronald Härtlein,≤100
120655374567,Ökologisch-Demokratische Partei (ÖDP),Ökologisch-Demokratische Partei (ÖDP),≤100
2010920999000602,Fridays for Future Deutschland,Together for Future e.V.,≤100
107085727344683,Mein Schlüssel zur Welt,Bundesministerium für Bildung und Forschung,≤100
614408642007931,Zurich,Zürich Beteiligungs AG,≤100
464337703775204,Carsten Körber - MdB,CDU Kreisverband Zwickau,≤100
395199440836135,"Detlef Müller, MdB","Detlef Müller, MdB",≤100
1675394899406675,Annalena Baerbock,BÜNDNIS 90/DIE GRÜNEN,≤100
109478215738226,Armin Laschet,CDU,≤100
123523341045520,Die Familienunternehmer,Die Familienunternehmer,≤100
101856841892664,Denis Korn - Bundestagskandidat 2021,Ralf Denis Korn,≤100
1312721828781856,Diskutier Mit Mir,Diskutier Mit Mir e.V.,≤100
481033845692472,Entschieden. Gegen Krebs.,ENTSCHIEDEN. Gegen Krebs.,≤100
23216224900,Plan International Deutschland,Plan International Deutschland,≤100
136260152219,World Vision Deutschland e.V.,World Vision Deutschland e.V.,≤100
156839244392425,Bündnis 90/Die Grünen Mittelsachsen,BÜNDNIS 90/DIE GRÜNEN,≤100
134209407129787,Volt Deutschland,Volt Deutschland,≤100
1672408719723194,Deutschland3000,funk,≤100
1578640155687393,Sea-Watch,Sea-Watch,≤100
263503200272,Welthungerhilfe,Welthungerhilfe,≤100
258172067920,Sächsische.de,Sächsische.de,≤100
113328738690350,BÜNDNIS 90/DIE GRÜNEN Erzgebirge,BÜNDNIS 90/DIE GRÜNEN,≤100
100581025696492,Marcus Fuchs für Dresden,Marcus Carsten Fuchs,≤100
114554831934355,Tierschutzbund,Deutscher Tierschutzbund e.V.,≤100
706758859393635,AfD Fraktion Sachsen,AfD Fraktion Sachsen,≤100
136471596903965,Rüdiger Kleinke,Rüdiger Kleinke,≤100
113319324330513,Politcheck,Forum für politischen und gesellschaftlichen Informationsaustausch,≤100
461514357286880,Bündnisgrüne Kreis Görlitz,BÜNDNIS 90/DIE GRÜNEN,≤100
158686354312528,Bündnis 90/ Die Grünen Kreisverband Meißen,BÜNDNIS 90/DIE GRÜNEN,≤100
101883328259311,Jessica Heller,Jessica Heller,≤100
201417363210028,Deutsches Hygiene-Museum,Stiftung Deutsches Hygiene-Museum,≤100
453150811428411,Mastercard,Mastercard,≤100
249296718436,IG Metall,IG Metall,≤100
640312589363316,FDP Leipzig,FDP Leipzig,≤100
197640170649147,funk,funk,≤100
112981306741840,Klimastreik - Zusammen mit Fridays For Future auf die Straßen,klima-streik.org,≤100
154149027994068,ZDF,ZDF,≤100
376601206024823,DIE DA OBEN!,funk,≤100
101161605540611,Christiane Schenderlein,Christiane Schenderlein,≤100
838580572852292,Holger Mann,Holger Mann,≤100
104032794633377,Mein BAföG,Bundesministerium für Bildung und Forschung,≤100
117194528903,Bündnis 90 / Die Grünen Leipzig,BÜNDNIS 90/DIE GRÜNEN Leipzig,≤100
118776688142153,enviaM,envia Mitteldeutsche Energie AG,≤100
179895928691877,Bündnis 90/Die Grünen Chemnitz,BÜNDNIS 90/DIE GRÜNEN,≤100
108268845888673,Bundesministerium für Arbeit und Soziales,Bundesministerium für Arbeit und Soziales,≤100
155171461584819,BÜNDNISGRÜNE-Fraktion Sachsen,Fraktion BÜNDNIS 90/DIE GRÜNEN im Sächsischen Landtag,≤100
147245511963527,DGB,Deutscher Gewerkschaftsbund (DGB),≤100
179895928691877,Bündnis 90/Die Grünen Chemnitz,Bündnis90/Die Grünen,≤100
261985647756704,AfD im EU-Parlament,AfD im EU-Parlament,≤100
331832984040,LichtBlick,LichtBlick,≤100
1947378708884004,Initiative Frosch,Initiative Frosch,≤100
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,≤100
109612901279011,Fabian Funke,SPD-Kreisverband SOE,≤100
40874340559,Mehr Demokratie e.V.,Jan Thomas Renner,≤100
178362315106,European Parliament,European Parliament,≤100
100717801668573,Gesunde Erde - Gesunde Menschen,Stiftung Gesunde Erde Gesunde Menschen gGmbH,≤100
316176935064056,Jusos Dresden,Jusos Dresden,≤100
57318667478,SPD Dresden,SPD Dresden,≤100
214211071944227,Katja Kipping,Katja Kipping (MdB),≤100
104653218603640,Olaf Horlbeck,Olaf Horlbeck,≤100
220708441342885,"Bündnis90/Die Grünen, Kreisverband Zwickau",BÜNDNIS 90/DIE GRÜNEN,≤100
124651027557566,PHOENIX,phoenix,≤100
229212277134449,Bündnis 90/Die Grünen Sächsische Schweiz-Osterzgebirge,BÜNDNIS 90/DIE GRÜNEN,≤100
1768812013390432,Kleiner Fünf,Kleiner Fünf,≤100
170688644503,UNICEF Deutschland,UNICEF Deutschland,≤100
117534528257937,Bund für Umwelt und Naturschutz Deutschland,Bund für Umwelt und Naturschutz Deutschland,≤100
104228758621197,Hocker statt Höcke - Deutschland. Aber tolerant.,Rainer Opolka,≤100
651322598298802,Martin Richter - FDP Nordsachsen,FDP Nordsachsen,≤100
241036373819,Ben & Jerry's,Ben & Jerry's,≤100
208991275785989,Vonovia,Vonovia SE,≤100
105282218350724,Carlos Kasper,Carlos Kasper,≤100
827229030698545,AfD - Stadtratsfraktion Chemnitz,Fraktion AfD im Stadtrat Chemnitz,≤100
121678260974,Initiative Neue Soziale Marktwirtschaft (INSM),Initiative Neue Soziale Marktwirtschaft (INSM),≤100
124295300922150,DIE LINKE. Leipzig,DIE LINKE. Leipzig,≤100
123103607735306,PRO ASYL,PRO ASYL,≤100
101366211961573,Dr. Markus Reichel,Markus Alexander Reichel,≤100
363842953730453,AfD Sachsen-Anhalt,AfD Sachsen-Anhalt,≤100
700577889971139,PENNY,PENNY,≤100
445380536040850,Georg-Ludwig von Breitenbuch,CDU Kreisverband Landkreis Leipzig,≤100
724868617881766,Mike Moncsek,Mike Manfred Moncsek,≤100
102447141656283,Carolin Bachmann,Carolin Bachmann,≤100
110976485656573,Junge Liberale JuLis,Junge Liberale,≤100
161273245888,Save the Children Deutschland,Save the Children Deutschland,≤100
106400861584004,Mathias Weiser,Mathias Weiser,≤100
105184441660516,Harald Prause-Kosubek,SPD-Kreisverband Görlitz,≤100
1790920000965539,CDU CSU Europa,CDU/CSU-Gruppe in der EVP-Fraktion im Europäischen Parlament,≤100
105956688175621,FDP Döbeln & Umgebung,FDP Döbeln und Umgebung,≤100
349264921789350,DGB-Region Leipzig-Nordsachsen,Deutscher Gewerkschaftsbund (DGB),≤100
81386795687,CSU (Christlich-Soziale Union),CSU (Christlich-Soziale Union),≤100
253592560263,Christoffel-Blindenmission (CBM),CBM Christoffel-Blindenmission Christian Blind Mission e.V.,≤100
103919417972272,Unabhängiger Beauftragter für Fragen des sexuellen Kindesmissbrauchs,Unabhängiger Beauftragter für Fragen des sexuellen Kindesmissbrauchs,≤100
218786540044,WWF Deutschland,WWF Deutschland,≤100
118418024890466,Familienbetriebe Land und Forst e.V.,Familienbetriebe Land und Forst,≤100
12084075837,Jürgen Todenhöfer,Team Todenhöfer - Die Gerechtigkeitspartei,≤100
100203099038374,Enkelkinderbriefe,Enekelkinderbriefe,≤100
492629814239347,DGB Südwestsachsen,DGB Südwestsachsen,≤100
151354428319746,Sabine Zimmermann,"Sabine Zimmermann, MdB",≤100
133306764192,NABU Bundesverband,NABU Bundesverband,≤100
154423267921909,followfood,followfood,≤100
169065407139584,Tilt,European Greens,≤100
194748951796,Sächsische Landeszentrale für politische Bildung (SLpB),Sächsische Landeszentrale für politische Bildung,≤100
216483295424239,Torsten Schweiger MdB,Torsten Schweiger,≤100
120479081330563,Körber-Stiftung,Körber-Stiftung,≤100
485303194814631,Deutsche Post,Deutsche Post,≤100
107411260903386,The Mother Nature App,The Mother Nature GmbH,≤100
2319126475013199,Zukunftsdialog,DGB Bundesvorstand,≤100
484950398505596,IRC Deutschland,IRC Deutschland,≤100
846335975484709,The Generation Forest,The Generation Forest eG,≤100
614408642007931,Zurich,Zürich Beteiligungs AG,≤100
101124947919410,GermanZero,Germanzero,≤100
1565754943752371,Robert Farle,Robert Farle,≤100
1508446642792459,Vattenfall Deutschland,Vattenfall Deutschland,≤100
1110204782371616,Die Moderne Landwirtschaft,Forum Moderne Landwirtschaft e.V.,≤100
449196900156,Volvo Car Deutschland,Volvo Car Germany GmbH,≤100
380349938694731,Mentor Verlag,Mentor Verlag,≤100
1791415457766265,AfD-Kreisverband Landkreis Leipzig,Edgar Naujok,≤100
107076604063996,Xross Over,Betim Cenaj,≤100
169367889785454,Arbeitgeberverband Gesamtmetall,Arbeitgeberverband Gesamtmetall,≤100
313744767921,der Freitag,der Freitag,≤100
303043247017496,Markus Buchheit,Markus Buchheit,≤100
158888744130107,Hubert Aiwanger Minister Bundesvors. Freie Wähler,Hubert Aiwanger,≤100
108897001501212,LGBielefeld 2021,Universität Bielefeld,≤100
498082906898583,Spotify,Spotify,≤100
248913988520756,Union Investment,Union Investment Privatfonds GmbH,≤100
105987068154008,Nadja Sthamer,Nadja Sthamer - Kandidatin für den Bundestag,≤100
223829854355699,Frosch,Frosch,≤100
259870778893,ARAG Versicherungen,ARAG SE,≤100
1745982485667400,Guido Reil,Guido Reil,≤100
1248546532016733,Empirische Sozialforschung - Uni Bielefeld,Universität Bielefeld,≤100
1609555372394092,17 Ziele,Engagement Global - Service für Entwicklungsinitiativen,≤100
204327886385912,FREIE WÄHLER Bundesvereinigung,FREIE WÄHLER Bundesvereinigung,≤100
413826305343387,Krautreporter,Krautreporter,≤100
42099597765,Torsten Herbst MdB,Torsten Herbst,≤100
209697875758716,Die Jungen Unternehmer,Die Jungen Unternehmer,≤100
120072323812,Frank Heinrich,CDU Chemnitz,≤100
217220858708004,AfD Regionalgruppe Kamenz,AfD Regionalgruppe Kamenz,≤100
107969381083059,Kassem Taher Saleh,Kassem Taher Saleh Saleh,≤100
2135010219947091,MINTmagie,Bundesministerium für Bildung und Forschung,≤100
59052417687,Bundeszentrale für politische Bildung (bpb),Bundeszentrale für politische Bildung (bpb),≤100
101285651990166,Planted,Planted HQ gGmbH,≤100
107268848302529,Elli - A brand of the Volkswagen Group,Volkswagen Group Charging GmbH,≤100
538936319946884,GermanDream,GermanDream mit Facebook-Werbegutschrift,≤100
1067366109963269,Altersdiskriminierung durch KFZ-Versicherungen?,Franz Rainer Schäffer,≤100
152650658523697,Sepp Müller,Sepp Müller MdB,≤100
127143338110,missio,missio,≤100
116335168553264,Betriebsratsinitiative "Bürgerversicherung? Nein danke.",Betriebsratsinitiative "Bürgerversicherung? Nein danke!",≤100
602487899802568,Özlem Alev Demirel,Europaabgeordnete,≤100
216975208373529,KSS Konferenz Sächsischer Studierendenschaften,Paul Richard Senf,≤100
314610442075420,TeamClimate,TeamClimate,≤100
128440447895402,Jeder Tag zählt e.V.,Jeder Tag zählt e.V.,≤100
299836991129,finanzen.de,finanzen.de Vermittlungsgesellschaft für Verbraucherverträge GmbH,≤100
1172124759533323,Jens Lehmann für Leipzig,Jens Lehmann für Leipzig,≤100
2188342231399828,HSI/Deutschland,HSI/Deutschland,≤100
224759004224478,BÜNDNIS 90/DIE GRÜNEN Halle (Saale),Bündnis 90/Die Grünen Stadtverband Halle,≤100
161674141345516,Weltverbesserer,Die Techniker (TK),≤100
115533570772022,Ulrika Schöllner - Parteiunabhängige Direktkandidatin Leipzig II,Ulrika Schoellner,≤100
170216939717552,seenluft24,seenluft24,≤100
44511549119,Konrad-Adenauer-Stiftung,Konrad-Adenauer-Stiftung,≤100
406823803479708,Yana Mark,Yana Mark,≤100
103970902017298,Wahl-plakate.com,wahl-plakate.com,≤100
145944615464920,Polarstern Energie,Polarstern Energie,≤100
704854642863982,Lorenz Gösta Beutin,Lorenz Gösta Beutin,≤100
293789556283,GEMEINSAM FÜR AFRIKA,GEMEINSAM FÜR AFRIKA,≤100
41509493347,Diakonie Deutschland,Diakonie Deutschland,≤100
108406017208147,Fraktion Freie Wähler Dresden,Fraktion Freie Wähler Dresden,≤100
114308060119379,Die Wohnungswirtschaft,GdW Bundesverband deutscher Wohnungs- und Immobilienunternehmen e.V.,≤100
809734159103915,Stadtjugendring Leipzig,Stadtjugendring Leipzig e.V.,≤100
718677004826671,Deutsche Umwelthilfe,Deutsche Umwelthilfe,≤100
675589985972309,HateAid,HateAid gGmbH,≤100
87921510981,SPD Thüringen,SPD Thüringen,≤100
101659185371731,gottseidankfrank,gottseidankfrank & Röbel UG,≤100
178622099163395,CSD Deutschland e.V.,CSD Deutschland e.V.,≤100
102602601456767,Winqs Sports,Winqs Sports UG,≤100
126866220711392,MDM Deutsche Münze,MDM Münzhandelsgesellschaft mbH & Co. KG Deutsche Münze,≤100
123332714357231,Europäische Kommission – Vertretung in Deutschland,Europäische Kommission – Vertretung in Deutschland,≤100
341486659645594,FDP Fraktion Bundestag,FDP Fraktion Bundestag,≤100
103188635244068,Leonard Schneider,Leonard Schneider,≤100
383522001715807,IG Metall Jugend Chemnitz,IG Metall Chemnitz,≤100
300323007067347,health tv,German health tv GmbH,≤100
177716422243141,Zentralverband Deutsches Kraftfahrzeuggewerbe (ZDK),Zentralverband Deutsches Kraftfahrzeuggewerbe,≤100
1566424690272923,Volker Wissing,FDP,≤100
417905399079008,The Honu Movement,Ocean Plastic Cleanup gemeinnützige GmbH,≤100
118245288231406,EASYFITNESS.club,EASYFITNESS.club,≤100
1864261097170518,Marion Schneider Wk 191,Mathias Goldhan,≤100
185101174836284,IG Metall Jugend,IG Metall Jugend,≤100
186128571494326,MdB Sören Pellmann,Die Linke. Stadtverband Leipzig,≤100
152125264826246,Wilo Group,Wilo Group,≤100
115602575294020,AfD Brandenburg,AfD Brandenburg,≤100
115311641867931,Wir haben es satt,Wir haben es satt,≤100
34193464266,Freunde fürs Leben e.V.,Freunde fürs Leben e.V.,≤100
104436127829612,Gabriel Wölfel,Gabriel Max Woelfel,≤100
