Page ID,Page Name,Disclaimer,Amount Spent (EUR)
47217143218,BÜNDNIS 90/DIE GRÜNEN,BÜNDNIS 90/DIE GRÜNEN,702
47930567748,SPD,SPD,543
139470429458087,SPD BRANDENBURG,SPD BRANDENBURG,522
64694257920,ProSieben,ProSieben,381
103355385129734,The Climate Pledge,The Climate Pledge,354
78502295414,CDU,CDU,241
258679164938305,Maja Wallstein,SPD Cottbus,217
82734241364,Campact e.V.,Campact e.V.,190
203575543022507,Dietlind Tiemann,Dr. Dietlind Tiemann,165
104145414310,Olaf Scholz,SPD,159
540404695989874,AfD,AfD,158
319040328150027,Facebook Politik und Gesellschaft,Facebook Politik und Gesellschaft,155
145019618847447,SAT.1,Seven.One Entertainment Group GmbH,140
118585603105337,Sonja Eichwede,Sozialdemokratischen Partei Deutschlands (SPD),122
531504136955879,BVB / Freie Wähler - Fraktion im Landtag Brandenburg,BVB / FREIE WÄHLER Fraktion,120
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,117
102707588547089,Sabine Buder,Dr. Sabine Buder,≤100
75159424764,Aktion Mensch,Aktion Mensch,≤100
113066003408907,Pilecki-Institut,Pilecki-Institut Berlin,≤100
115602575294020,AfD Brandenburg,AfD Brandenburg,≤100
108826898029,Uwe Feiler,Uwe Feiler,≤100
47694585682,DIE LINKE,DIE LINKE,≤100
105205171835668,Zervakis & Opdenhövel. Live.,ProSieben,≤100
400646766650321,Blinkist,Blinks Labs GmbH,≤100
108165514298122,Zukunft sichern,Zukunft Sichern,≤100
538936319946884,GermanDream,GermanDream mit Facebook-Werbegutschrift,≤100
103558289679671,Bündnis 90/Die Grünen Berlin,Die Landesgeschäftsführung von Bündnis 90/Die Grünen Berlin,≤100
105717991282071,Stefan Kunath,DIE LINKE,≤100
107085727344683,Mein Schlüssel zur Welt,Bundesministerium für Bildung und Forschung,≤100
21289227249,FDP,FDP,≤100
2095662597197606,Bündnis 90/Die Grünen Kreisverband Barnim,BÜNDNIS 90/DIE GRÜNEN,≤100
1655252804795367,Oatly,Oatly,≤100
671088153327157,Grueneprignitz,BÜNDNIS 90/DIE GRÜNEN,≤100
1434045933475301,BÜNDNIS 90 / DIE GRÜNEN - Kreisverband Potsdam Mittelmark,BÜNDNIS 90/DIE GRÜNEN,≤100
114913028545424,Kabel Eins,Seven.One Entertainment Group GmbH,≤100
401370160009955,BÜNDNIS 90/ DIE GRÜNEN KV Potsdam,Bündnis 90/Die Grünen Potsdam,≤100
111033161266569,DeinMorgen,Die Jungen Unternehmer,≤100
2010920999000602,Fridays for Future Deutschland,Together for Future e.V.,≤100
23216224900,Plan International Deutschland,Plan International Deutschland,≤100
423387691111888,Mathias Papendieck,Mathias Papendieck,≤100
136260152219,World Vision Deutschland e.V.,World Vision Deutschland e.V.,≤100
114554831934355,Tierschutzbund,Deutscher Tierschutzbund e.V.,≤100
123523341045520,Die Familienunternehmer,Die Familienunternehmer,≤100
120655374567,Ökologisch-Demokratische Partei (ÖDP),Ökologisch-Demokratische Partei (ÖDP),≤100
779079738810445,FDP Potsdam-Mittelmark,FDP Potsdam-Mittelmark,≤100
401370160009955,BÜNDNIS 90/ DIE GRÜNEN KV Potsdam,BÜNDNIS 90/DIE GRÜNEN,≤100
12084075837,Jürgen Todenhöfer,Team Todenhöfer - Die Gerechtigkeitspartei,≤100
581585381884219,Bündnis 90 / Die Grünen Frankfurt - Oder,KV Frankfurt (Oder),≤100
234636206679771,Stefan Zierke,Stefan Zierke,≤100
149368588572497,Grüner Kreisverband Oberhavel,BÜNDNIS 90/DIE GRÜNEN,≤100
110271520875262,Berlin TXL,Land Berlin vertreten durch die Tegel Projekt GmbH,≤100
481033845692472,Entschieden. Gegen Krebs.,ENTSCHIEDEN. Gegen Krebs.,≤100
178122968958861,BÜNDNIS 90/DIE GRÜNEN Teltow-Fläming,BÜNDNIS 90/DIE GRÜNEN,≤100
1867495213504775,Sylvia Lehmann,"Sylvia Lehmann, MdB",≤100
223119367812240,Dietlind Biesterfeld,Dietlind Juliane Biesterfeld,≤100
154149027994068,ZDF,ZDF,≤100
1675394899406675,Annalena Baerbock,BÜNDNIS 90/DIE GRÜNEN,≤100
1672408719723194,Deutschland3000,funk,≤100
392443231201087,Bündnis 90/Die Grünen Dahme-Spreewald,BÜNDNIS 90/DIE GRÜNEN,≤100
247133728649040,Bündnis 90/ Die Grünen Uckermark,BÜNDNIS 90/DIE GRÜNEN,≤100
233822753476345,Knut Abraham,Knut Abraham,≤100
109195954652300,Ihr Bürgermeisterkandidat Torsten Gärtner,BVB / Freie Wähler - Torsten Gärtner,≤100
170403846324261,svz.de - Nachrichten aus Mecklenburg-Vorpommern,Zeitungsverlag Schwerin GmbH & Co. KG,≤100
100539700021110,Bündnis 90/Die Grünen Oder-Spree,BÜNDNIS 90/DIE GRÜNEN,≤100
197640170649147,funk,funk,≤100
