Page ID,Page Name,Disclaimer,Amount Spent (EUR)
47217143218,BÜNDNIS 90/DIE GRÜNEN,BÜNDNIS 90/DIE GRÜNEN,12084
1399637916952318,CORRECTIV,CORRECTIV unterstützt durch Instagram,6161
47930567748,SPD,SPD,6059
78502295414,CDU,CDU,5901
20672124724,BÜNDNIS 90/DIE GRÜNEN NRW,BÜNDNIS 90/DIE GRÜNEN NRW,5830
108824017345866,Facebook,Facebook Inc.,3717
82734241364,Campact e.V.,Campact e.V.,3508
319040328150027,Facebook Politik und Gesellschaft,Facebook Politik und Gesellschaft,2406
21289227249,FDP,FDP,1852
538936319946884,GermanDream,GermanDream mit Facebook-Werbegutschrift,1290
282800387209,FDP NRW,FDP NRW,1169
1655252804795367,Oatly,Oatly,1161
47694585682,DIE LINKE,DIE LINKE,1058
123523341045520,Die Familienunternehmer,Die Familienunternehmer,1056
75159424764,Aktion Mensch,Aktion Mensch,1052
109478215738226,Armin Laschet,CDU,1012
1067821176570031,Paul Ziemiak,CDU Kreisverband Mark,935
92576009043,Jens Spahn,Jens Spahn,880
540404695989874,AfD,AfD,823
400646766650321,Blinkist,Blinks Labs GmbH,806
12084075837,Jürgen Todenhöfer,Team Todenhöfer - Die Gerechtigkeitspartei,791
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,772
249296718436,IG Metall,IG Metall,706
101143705599210,Sandra von Möller,CDU Köln,623
136260152219,World Vision Deutschland e.V.,World Vision Deutschland e.V.,589
1312721828781856,Diskutier Mit Mir,Diskutier Mit Mir e.V.,577
133831053368524,SPD Dortmund,SPD Dortmund,527
208991275785989,Vonovia,Vonovia SE,509
107085727344683,Mein Schlüssel zur Welt,Bundesministerium für Bildung und Forschung,500
156155281149864,FDP Köln,FDP Köln,497
111033161266569,DeinMorgen,Die Jungen Unternehmer,494
453150811428411,Mastercard,Mastercard,469
1675394899406675,Annalena Baerbock,BÜNDNIS 90/DIE GRÜNEN,464
2010920999000602,Fridays for Future Deutschland,Together for Future e.V.,461
