Page ID,Page Name,Disclaimer,Amount Spent (EUR)
78502295414,CDU,CDU,5634
47217143218,BÜNDNIS 90/DIE GRÜNEN,BÜNDNIS 90/DIE GRÜNEN,2455
319040328150027,Facebook Politik und Gesellschaft,Facebook Politik und Gesellschaft,1963
47930567748,SPD,SPD,1909
540404695989874,AfD,AfD,1524
111033161266569,DeinMorgen,Die Jungen Unternehmer,1458
82734241364,Campact e.V.,Campact e.V.,1325
286496464854520,Bündnis 90 / Die Grünen - Stadtverband Grüne Gießen,Stadtverband Bündnis 90/Die Grünen Giessen,1017
108824017345866,Facebook,Facebook Inc.,926
21289227249,FDP,FDP,785
331832984040,LichtBlick,LichtBlick,709
109478215738226,Armin Laschet,CDU,603
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,401
47694585682,DIE LINKE,DIE LINKE,359
101597861880857,Felix Döring,Felix Döring,326
75159424764,Aktion Mensch,Aktion Mensch,320
2010920999000602,Fridays for Future Deutschland,Together for Future e.V.,295
123523341045520,Die Familienunternehmer,Die Familienunternehmer,286
538936319946884,GermanDream,GermanDream mit Facebook-Werbegutschrift,275
12084075837,Jürgen Todenhöfer,Team Todenhöfer - Die Gerechtigkeitspartei,272
106516184465027,DieBasis,Basisdemokratische Partei Deutschland,270
510117665830401,Hilfetelefon Gewalt gegen Frauen,BAFzA,249
61457331088,Helge Braun,CDU Kreisverband Gießen,249
136260152219,World Vision Deutschland e.V.,World Vision Deutschland e.V.,245
400646766650321,Blinkist,Blinks Labs GmbH,231
173369732686833,Bündnis90/Die Grünen Frankfurt,Bündnis 90/Die Grünen Frankfurt am Main,211
249296718436,IG Metall,IG Metall,209
150636586500702,FDP Stadtverband Melsungen,Eskor Werbeagentur im Auftrag FDP Melsungen,207
875209602502336,AfD Kreisverband Vogelsberg,AfD Kreisverband Vogelsberg,207
110949757892446,Wilhelm Gebhard - Ihr Bundestagskandidat,CDU Werra-Werra-Meißner,203
