Page ID,Page Name,Disclaimer,Amount Spent (EUR)
540404695989874,AfD,AfD,901
107591306090255,Carsten Schneider,SPD-Kreisverband Erfurt,472
106516184465027,DieBasis,Basisdemokratische Partei Deutschland,259
47694585682,DIE LINKE,DIE LINKE,235
82734241364,Campact e.V.,Campact e.V.,213
558945014144891,Albert Weiler,Albert Weiler MdB,192
47930567748,SPD,SPD,179
331832984040,LichtBlick,LichtBlick,169
78502295414,CDU,CDU,163
542605582431001,Christian Hirte,CDU Wartburgkreis,149
134080283313500,DIE LINKE Thüringen,DIE LINKE Thüringen,141
319040328150027,Facebook Politik und Gesellschaft,Facebook Politik und Gesellschaft,136
1864261097170518,Marion Schneider Wk 191,Mathias Goldhan,104
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,≤100
75159424764,Aktion Mensch,Aktion Mensch,≤100
123523341045520,Die Familienunternehmer,Die Familienunternehmer,≤100
134229626612248,Tankred Schipanski,Tankred Schipanski,≤100
1825871520988552,Elisabeth Kaiser,Elisabeth Kaiser,≤100
1565754943752371,Robert Farle,Robert Farle,≤100
136260152219,World Vision Deutschland e.V.,World Vision Deutschland e.V.,≤100
367774396672401,Grüne Jena,Bündnis 90/Die Grünen Jena,≤100
163139997033615,Die Linke Saale-Holzland-Kreis,Die LINKE. SHK,≤100
106076808354525,Michael C. Müller,SPD Thüringen,≤100
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,≤100
111033161266569,DeinMorgen,Die Jungen Unternehmer,≤100
107085727344683,Mein Schlüssel zur Welt,Bundesministerium für Bildung und Forschung,≤100
100356622303494,Frank Ullrich,Frank Karl Ullrich,≤100
109478215738226,Armin Laschet,CDU,≤100
133306764192,NABU Bundesverband,NABU Bundesverband,≤100
510117665830401,Hilfetelefon Gewalt gegen Frauen,BAFzA,≤100
216483295424239,Torsten Schweiger MdB,Torsten Schweiger,≤100
100910112295981,Heiko Knopf,Bündnis90/Die Grünen Kreisverband Jena,≤100
155625544604974,Pro Wipperwelle,These ads ran without a disclaimer,≤100
2010920999000602,Fridays for Future Deutschland,Together for Future e.V.,≤100
