Page ID,Page Name,Disclaimer,Amount Spent (EUR)
374927701107,Ostsee-Zeitung,MADSACK Market Solutions GmbH,127
331832984040,LichtBlick,LichtBlick,122
194997973937131,LinkedIn,LinkedIn Germany GmbH,122
678621418886428,Tag der Deutschen Einheit,Staatskanzlei und Ministerium für Kultur Sachsen-Anhalt,108
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,≤100
103355385129734,The Climate Pledge,The Climate Pledge,≤100
152033178165965,Deutsche Bahn Personenverkehr,Deutsche Bahn Personenverkehr,≤100
178362315106,European Parliament,European Parliament,≤100
744055308985961,CDU-Fraktion im Landtag Mecklenburg-Vorpommern,CDU Fraktion im Landtag von Mecklenburg-Vorpommern,≤100
1567486726852789,Evangelische Jugend Mecklenburg,Evangelisches Kinder- und Jugendwerk Mecklenburg,≤100
481033845692472,Entschieden. Gegen Krebs.,ENTSCHIEDEN. Gegen Krebs.,≤100
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,≤100
82734241364,Campact e.V.,Campact e.V.,≤100
101069298806756,Klimastiftung-MV,Stiftung Klima- und Umweltschutz MV,≤100
161273245888,Save the Children Deutschland,Save the Children Deutschland,≤100
478399422560922,KadeFungin,DR. KADE,≤100
23216224900,Plan International Deutschland,Plan International Deutschland,≤100
484950398505596,IRC Deutschland,IRC Deutschland,≤100
100809408696481,finanzen.de viva,finanzen.de,≤100
217879838339082,Bundesministerium für Wirtschaft und Energie,Bundesministerium für Wirtschaft und Energie,≤100
593476900673774,ifaw,ifaw,≤100
100717801668573,Gesunde Erde - Gesunde Menschen,Stiftung Gesunde Erde Gesunde Menschen gGmbH,≤100
1676686442620170,AfD Lübeck,Andrea Gaidetzka,≤100
109449963774645,Podimo,These ads ran without a disclaimer,≤100
118776688142153,enviaM,envia Mitteldeutsche Energie AG,≤100
319589501469946,MV1.TV,TV M-V,≤100
130534873659391,Green Planet Energy,Green Planet Energy eG,≤100
273454591804,SOS-Kinderdorf Deutschland,SOS-Kinderdorf e.V.,≤100
107411260903386,The Mother Nature App,The Mother Nature GmbH,≤100
110325972343711,Bundesstiftung zur Aufarbeitung der SED-Diktatur,Bundesstiftung zur Aufarbeitung der SED-Diktatur,≤100
161674141345516,Weltverbesserer,Die Techniker (TK),≤100
1745982485667400,Guido Reil,Guido Reil,≤100
261985647756704,AfD im EU-Parlament,AfD im EU-Parlament,≤100
170688644503,UNICEF Deutschland,UNICEF Deutschland,≤100
846335975484709,The Generation Forest,The Generation Forest eG,≤100
1312721828781856,Diskutier Mit Mir,Diskutier Mit Mir e.V.,≤100
116000986793106,Klima,Climate Labs GmbH,≤100
1471258759768876,"Franz-Robert Liskow, MdL",Franz-Robert Liskow MdL,≤100
103031897985651,Good For You Mag,These ads ran without a disclaimer,≤100
263503200272,Welthungerhilfe,Welthungerhilfe,≤100
294772850956765,Green Forest Fund e.V.,GREEN FOREST FUND e.V.,≤100
614408642007931,Zurich,Zürich Beteiligungs AG,≤100
112277272142815,Sparkasse,Sparkasse,≤100
1947378708884004,Initiative Frosch,Initiative Frosch,≤100
1063097913781947,SPD-Bürgerschaftsfraktion Stralsund,SPD-Bürgerschaftsfraktion Stralsund,≤100
141612489183275,Hans-Böckler-Stiftung,Hans-Böckler-Stiftung,≤100
540404695989874,AfD,AfD,≤100
90035328642,PETA Deutschland,PETA Deutschland,≤100
1609555372394092,17 Ziele,Engagement Global - Service für Entwicklungsinitiativen,≤100
217786668379580,350.org Deutschland,350.org Deutschland,≤100
152125264826246,Wilo Group,Wilo Group,≤100
303043247017496,Markus Buchheit,Markus Buchheit,≤100
171174646826561,Dr. Stefan Posselt,Stefan Posselt,≤100
249986091716256,Deutscher Jagdverband e.V.,Deutscher Jagdverband e.V.,≤100
1811839762254313,Bayerisches Innenministerium,"Bayerisches Staatsministerium des Innern, für Sport und Integration",≤100
198244400189055,Entega,ENTEGA Plus GmbH,≤100
163969044200338,The Female Company,The Female Company,≤100
215977868441680,Bundeswehr Karriere,These ads ran without a disclaimer,≤100
1509790395958123,Aktion gegen den Hunger,Aktion gegen den Hunger,≤100
101326131878243,GP Prüfservice,Marcus Pauli,≤100
