Page ID,Page Name,Disclaimer,Amount Spent (EUR)
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,≤100
103355385129734,The Climate Pledge,The Climate Pledge,≤100
194997973937131,LinkedIn,LinkedIn Germany GmbH,≤100
331832984040,LichtBlick,LichtBlick,≤100
152033178165965,Deutsche Bahn Personenverkehr,Deutsche Bahn Personenverkehr,≤100
178362315106,European Parliament,European Parliament,≤100
484950398505596,IRC Deutschland,IRC Deutschland,≤100
346059386316717,Dash,These ads ran without a disclaimer,≤100
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,≤100
1312721828781856,Diskutier Mit Mir,Diskutier Mit Mir e.V.,≤100
208991275785989,Vonovia,Vonovia SE,≤100
23216224900,Plan International Deutschland,Plan International Deutschland,≤100
197589525931,Facebook app,Facebook,≤100
161273245888,Save the Children Deutschland,Save the Children Deutschland,≤100
236934790401,UNO-Flüchtlingshilfe,UNO-Flüchtlingshilfe,≤100
478399422560922,KadeFungin,DR. KADE,≤100
198862383502965,DGB-Jugend Niedersachsen - Bremen - Sachsen-Anhalt,DGB-Jugend Niedersachsen - Bremen - Sachsen-Anhalt,≤100
136260152219,World Vision Deutschland e.V.,World Vision Deutschland e.V.,≤100
273454591804,SOS-Kinderdorf Deutschland,SOS-Kinderdorf e.V.,≤100
130534873659391,Green Planet Energy,Green Planet Energy eG,≤100
555258241345272,immocation,immocation GmbH,≤100
117987998225710,Durex,These ads ran without a disclaimer,≤100
154423267921909,followfood,followfood,≤100
100717801668573,Gesunde Erde - Gesunde Menschen,Stiftung Gesunde Erde Gesunde Menschen gGmbH,≤100
116000986793106,Klima,Climate Labs GmbH,≤100
170688644503,UNICEF Deutschland,UNICEF Deutschland,≤100
223829854355699,Frosch,Frosch,≤100
217879838339082,Bundesministerium für Wirtschaft und Energie,Bundesministerium für Wirtschaft und Energie,≤100
160531500656482,FDP-Fraktion Bremen,FDP-Fraktion Bremen,≤100
82734241364,Campact e.V.,Campact e.V.,≤100
718677004826671,Deutsche Umwelthilfe,Deutsche Umwelthilfe,≤100
139065632780165,Monika Hohlmeier,Monika Hohlmeier,≤100
161674141345516,Weltverbesserer,Die Techniker (TK),≤100
593476900673774,ifaw,ifaw,≤100
1609555372394092,17 Ziele,Engagement Global - Service für Entwicklungsinitiativen,≤100
263503200272,Welthungerhilfe,Welthungerhilfe,≤100
217786668379580,350.org Deutschland,350.org Deutschland,≤100
205952255954,La Nordica-Extraflame official page,These ads ran without a disclaimer,≤100
32925303328,Heinrich-Böll-Stiftung,Heinrich-Böll-Stiftung,≤100
74602991332,StepStone.de,These ads ran without a disclaimer,≤100
1811839762254313,Bayerisches Innenministerium,"Bayerisches Staatsministerium des Innern, für Sport und Integration",≤100
1855211144766647,Asylhelp by migrando,Graske Rechtsanwälte,≤100
64694257920,ProSieben,ProSieben,≤100
1745982485667400,Guido Reil,Guido Reil,≤100
